"","beta","HR (95% CI for HR)","wald.test","p.value"
"G3437","0.38","1.5 (1-2.1)","4.1","0.042"
"G4675","-0.05","0.95 (0.63-1.4)","0.06","0.81"
"G1824","0.61","1.8 (1.2-2.7)","9.5","0.0021"
"G10038","0.66","1.9 (1-3.7)","4","0.046"
"G3131","-0.33","0.72 (0.58-0.9)","8.6","0.0034"
"G5607","-0.41","0.66 (0.29-1.5)","0.97","0.32"
"G9854","0.017","1 (0.64-1.6)","0.01","0.94"
"G9572","0.56","1.8 (1.1-2.8)","5.8","0.016"
"G9712","-0.41","0.66 (0.35-1.3)","1.6","0.21"
"G100507213","-0.41","0.66 (0.35-1.3)","1.6","0.21"
"G2775","-0.64","0.53 (0.29-0.95)","4.5","0.035"
"G7984","0.029","1 (0.49-2.2)","0.01","0.94"
"G4521","0.67","1.9 (1.2-3.2)","6.5","0.011"
"G2237","0.81","2.2 (1.6-3.1)","23","1.5e-06"
"G6891","0.54","1.7 (0.94-3.1)","3.1","0.079"
"G7270","0.74","2.1 (0.88-5)","2.8","0.093"
"G2123","0.21","1.2 (0.74-2.1)","0.62","0.43"
"G8208","0.44","1.6 (1-2.4)","4","0.045"
"G7060","0.064","1.1 (0.88-1.3)","0.42","0.52"
"G4118","-0.19","0.83 (0.61-1.1)","1.4","0.23"
"G3217","0.51","1.7 (1.2-2.3)","8.9","0.0028"
"G355","-0.12","0.88 (0.48-1.6)","0.16","0.69"
"G4291","0.011","1 (0.63-1.6)","0","0.96"
"G3455","1.1","2.9 (1.3-6.2)","7.2","0.0071"
"G11326","0.18","1.2 (0.88-1.6)","1.3","0.26"
"G5498","-0.0078","0.99 (0.52-1.9)","0","0.98"
"G4092","-0.31","0.74 (0.38-1.4)","0.86","0.35"
"G7181","-1.9","0.15 (0.065-0.36)","19","1.4e-05"
"G9742","-0.76","0.47 (0.25-0.87)","5.8","0.017"
"G9737","-0.61","0.54 (0.38-0.78)","11","0.0011"
"G1844","-0.15","0.86 (0.6-1.2)","0.69","0.41"
"G80742","-0.23","0.79 (0.37-1.7)","0.36","0.55"
"G2009","-0.45","0.64 (0.39-1)","3.3","0.071"
"G4602","-0.085","0.92 (0.59-1.4)","0.14","0.71"
"G9889","-0.3","0.74 (0.26-2.1)","0.32","0.57"
"G79758","-0.24","0.78 (0.48-1.3)","0.95","0.33"
"G6236","-0.2","0.82 (0.62-1.1)","2","0.15"
"G6737","0.92","2.5 (1.1-5.6)","5.2","0.023"
"G8971","0.9","2.5 (1.3-4.7)","7.4","0.0065"
"G3134","0.74","2.1 (1.1-3.8)","5.8","0.016"
"G10329","0.25","1.3 (0.67-2.4)","0.57","0.45"
"G10845","-1.2","0.31 (0.082-1.2)","3","0.081"
"G1158","0.22","1.2 (1.1-1.4)","8.8","0.0031"
"G9254","-0.22","0.8 (0.7-0.92)","10","0.0014"
"G9183","0.29","1.3 (0.45-4)","0.27","0.6"
"G5602","-0.47","0.63 (0.46-0.85)","9","0.0028"
"G9704","0.19","1.2 (0.69-2.1)","0.45","0.5"
"G9700","0.5","1.7 (1.2-2.2)","11","0.00079"
"G3294","-0.089","0.91 (0.82-1)","2.3","0.13"
"G2245","0.28","1.3 (0.72-2.4)","0.8","0.37"
"G10384","-0.25","0.78 (0.4-1.5)","0.54","0.46"
"G11118","-0.24","0.78 (0.46-1.3)","0.82","0.37"
"G7272","0.43","1.5 (1.2-2)","11","0.00099"
"G2021","0.25","1.3 (0.75-2.2)","0.84","0.36"
"G9833","0.38","1.5 (1.2-1.8)","14","0.00018"
"G899","0.46","1.6 (0.99-2.5)","3.8","0.053"
"G2350","-0.14","0.87 (0.54-1.4)","0.33","0.56"
"G5673","0.25","1.3 (0.83-2)","1.3","0.26"
"G657","-1","0.36 (0.14-0.91)","4.6","0.032"
"G9140","-1.4","0.25 (0.093-0.68)","7.3","0.0068"
"G10875","0.26","1.3 (0.79-2.1)","1","0.31"
"G5422","0.69","2 (0.9-4.4)","2.9","0.087"
"G2731","0.13","1.1 (0.88-1.5)","0.97","0.32"
"G66036","-0.79","0.46 (0.18-1.2)","2.7","0.099"
"G27030","0.069","1.1 (0.36-3.2)","0.02","0.9"
"G51367","0.6","1.8 (0.9-3.7)","2.8","0.095"
"G8411","-0.8","0.45 (0.14-1.4)","1.8","0.17"
"G5576","-0.76","0.47 (0.16-1.4)","1.9","0.16"
"G2028","0.044","1 (0.77-1.4)","0.08","0.78"
"G27107","-1.6","0.21 (0.093-0.46)","15","9.7e-05"
"G10732","-0.93","0.39 (0.19-0.8)","6.8","0.0094"
"G1641","-0.35","0.71 (0.49-1)","3.6","0.057"
"G4999","-1.9","0.14 (0.044-0.46)","11","0.0012"
"G10536","0.71","2 (1.5-2.8)","18","2.6e-05"
"G10331","0.51","1.7 (1.2-2.2)","11","0.00092"
"G8379","1","2.7 (1.4-5.4)","8.1","0.0044"
"G1890","0.68","2 (1.2-3.3)","6.7","0.0098"
"G317","-0.48","0.62 (0.3-1.3)","1.7","0.19"
"G4671","-0.78","0.46 (0.26-0.8)","7.6","0.0059"
"G4832","-0.75","0.47 (0.22-1)","3.8","0.053"
"G3572","-0.23","0.79 (0.4-1.6)","0.46","0.5"
"G761","-0.29","0.75 (0.61-0.92)","7.6","0.0059"
"G9767","-0.86","0.42 (0.18-0.97)","4.1","0.042"
"G2644","0.42","1.5 (0.89-2.6)","2.4","0.12"
"G3396","0.97","2.6 (1.4-5)","8.7","0.0031"
"G5126","-0.2","0.82 (0.64-1.1)","2.5","0.12"
"G7978","-0.23","0.79 (0.41-1.5)","0.47","0.49"
"G7091","-0.62","0.54 (0.34-0.86)","6.8","0.0093"
"G5189","-1","0.36 (0.16-0.83)","5.7","0.017"
"G8938","-0.22","0.8 (0.56-1.1)","1.6","0.21"
"G2762","0.38","1.5 (1-2)","4.9","0.026"
"G9726","0.019","1 (0.61-1.7)","0.01","0.94"
"G9344","-0.49","0.61 (0.3-1.3)","1.8","0.18"
"G10630","0.55","1.7 (1.1-2.7)","5.9","0.015"
"G4255","0.98","2.7 (1.1-6.7)","4.3","0.038"
"G7357","0.38","1.5 (0.83-2.6)","1.8","0.19"
"G3364","0.68","2 (0.85-4.6)","2.5","0.12"
"G10232","-0.025","0.98 (0.84-1.1)","0.11","0.74"
"G10733","0.46","1.6 (1.2-2.2)","8","0.0048"
"G9148","-0.14","0.87 (0.5-1.5)","0.22","0.64"
"G3932","0.015","1 (0.65-1.6)","0","0.95"
"G9372","-0.26","0.77 (0.33-1.8)","0.38","0.54"
"G8639","-0.51","0.6 (0.46-0.78)","15","0.00011"
"G5734","-0.3","0.74 (0.49-1.1)","1.9","0.16"
"G8819","0.48","1.6 (0.82-3.1)","2","0.16"
"G23192","0.68","2 (0.54-7.2)","1.1","0.3"
"G2701","-0.24","0.78 (0.47-1.3)","0.86","0.35"
"G9521","0.74","2.1 (0.87-5.1)","2.7","0.1"
"G602","0.62","1.9 (1.2-2.8)","8.4","0.0036"
"G102465879","0.62","1.9 (1.2-2.8)","8.4","0.0036"
"G10612","0.68","2 (1-3.9)","3.8","0.05"
"G3587","0.017","1 (0.65-1.6)","0.01","0.94"
"G6664","0.13","1.1 (0.96-1.4)","2.4","0.13"
"G10267","0.7","2 (1.3-3.1)","9.5","0.002"
"G11272","-0.014","0.99 (0.63-1.6)","0","0.95"
"G100533464","0.27","1.3 (0.81-2.1)","1.2","0.28"
"G1373","-0.17","0.85 (0.59-1.2)","0.83","0.36"
"G2622","-0.14","0.87 (0.44-1.7)","0.17","0.68"
"G79703","0.033","1 (0.62-1.7)","0.02","0.9"
"G54440","-0.0032","1 (0.56-1.8)","0","0.99"
"G7097","-0.063","0.94 (0.64-1.4)","0.1","0.75"
"G1497","0.36","1.4 (0.62-3.3)","0.7","0.4"
"G3624","0.37","1.4 (1-2.1)","4.1","0.043"
"G8045","0.97","2.6 (1.2-5.8)","5.7","0.017"
"G8273","0.52","1.7 (0.98-2.9)","3.6","0.059"
"G10791","0.075","1.1 (0.63-1.8)","0.08","0.78"
"G662","0.35","1.4 (0.58-3.5)","0.58","0.45"
"G6943","-0.37","0.69 (0.57-0.84)","14","0.00022"
"G4982","0.034","1 (0.76-1.4)","0.04","0.83"
"G3249","-0.38","0.68 (0.5-0.94)","5.6","0.018"
"G5771","0.25","1.3 (0.48-3.4)","0.26","0.61"
"G5871","-0.18","0.83 (0.65-1.1)","2","0.16"
"G10782","-0.85","0.43 (0.19-0.94)","4.4","0.035"
"G5350","-0.046","0.95 (0.74-1.2)","0.13","0.72"
"G222","0.56","1.8 (1.3-2.3)","16","5.8e-05"
"G5798","-0.12","0.89 (0.65-1.2)","0.57","0.45"
"G7156","-0.11","0.89 (0.41-1.9)","0.08","0.77"
"G10468","0.015","1 (0.66-1.6)","0","0.95"
"G3385","0.63","1.9 (0.97-3.7)","3.5","0.06"
"G399","-0.039","0.96 (0.64-1.4)","0.04","0.85"
"G27076","0.17","1.2 (0.98-1.4)","2.9","0.087"
"G9892","0.067","1.1 (0.89-1.3)","0.5","0.48"
"G9149","-0.18","0.84 (0.54-1.3)","0.59","0.44"
"G8406","-0.069","0.93 (0.65-1.3)","0.14","0.71"
"G4507","-0.18","0.84 (0.43-1.6)","0.28","0.6"
"G5001","0.14","1.2 (0.56-2.4)","0.15","0.7"
"G1263","-1.2","0.29 (0.12-0.69)","7.8","0.0052"
"G4332","0.17","1.2 (0.75-1.9)","0.54","0.46"
"G5790","0.14","1.2 (0.85-1.6)","0.87","0.35"
"G653361","0.26","1.3 (0.88-1.9)","1.8","0.18"
"G654816","0.16","1.2 (0.81-1.7)","0.69","0.41"
"G654817","0.16","1.2 (0.81-1.7)","0.69","0.41"
"G1058","0.46","1.6 (1.2-2.1)","9.6","0.0019"
"G2638","0.22","1.3 (1-1.5)","5.6","0.018"
"G576","0.49","1.6 (0.85-3.1)","2.2","0.14"
"G357","0.051","1.1 (0.6-1.9)","0.03","0.86"
"G57827","0.2","1.2 (0.61-2.5)","0.33","0.57"
"G5962","-0.07","0.93 (0.53-1.6)","0.06","0.81"
"G4097","-0.2","0.82 (0.53-1.3)","0.86","0.35"
"G1475","0.26","1.3 (0.79-2.1)","1.1","0.3"
"G4939","0.39","1.5 (0.94-2.3)","2.9","0.088"
"G2705","-0.098","0.91 (0.75-1.1)","1.1","0.3"
"G5864","-0.2","0.81 (0.55-1.2)","1.1","0.3"
"G2013","-0.53","0.59 (0.39-0.9)","5.9","0.015"
"G11129","-1.2","0.29 (0.1-0.85)","5.1","0.024"
"G6450","-0.86","0.42 (0.25-0.71)","10","0.0013"
"G9575","-0.9","0.41 (0.13-1.2)","2.5","0.12"
"G5002","0.2","1.2 (0.86-1.7)","1.3","0.26"
"G2239","-0.17","0.84 (0.59-1.2)","0.87","0.35"
"G79090","0.77","2.2 (1.1-4.2)","5.2","0.022"
"G3698","0.041","1 (0.87-1.2)","0.2","0.65"
"G2244","0.18","1.2 (1.1-1.4)","7.9","0.0049"
"G3691","0.8","2.2 (1.2-4.1)","6.6","0.01"
"G4771","-0.12","0.89 (0.38-2.1)","0.08","0.78"
"G5217","0.42","1.5 (1-2.3)","4.2","0.041"
"G2781","-0.43","0.65 (0.35-1.2)","1.9","0.17"
"G4600","0.34","1.4 (1-1.9)","4.9","0.026"
"G8851","0.1","1.1 (0.7-1.7)","0.19","0.67"
"G22809","0.92","2.5 (1.3-4.9)","7.4","0.0065"
"G27245","-0.19","0.83 (0.46-1.5)","0.4","0.53"
"G55922","0.14","1.2 (0.45-3)","0.08","0.77"
"G9397","-1.1","0.34 (0.17-0.67)","9.4","0.0021"
"G10518","0.97","2.6 (1.5-4.7)","11","0.001"
"G7031","0.07","1.1 (0.95-1.2)","1.4","0.24"
"G54552","-0.32","0.72 (0.2-2.5)","0.26","0.61"
"G4013","0.018","1 (0.57-1.8)","0","0.95"
"G3029","0.059","1.1 (0.5-2.2)","0.02","0.88"
"G135","-0.3","0.74 (0.32-1.7)","0.47","0.49"
"G101730217","-0.3","0.74 (0.32-1.7)","0.47","0.49"
"G9982","0.3","1.4 (1-1.8)","5.1","0.024"
"G7039","0.47","1.6 (1.1-2.2)","7.4","0.0065"
"G7433","-0.34","0.71 (0.57-0.89)","8.6","0.0033"
"G10124","0.61","1.8 (1.1-3)","5.8","0.016"
"G1112","-0.11","0.9 (0.31-2.6)","0.04","0.84"
"G5888","0.56","1.8 (1.2-2.6)","8","0.0047"
"G3104","-0.3","0.74 (0.35-1.6)","0.62","0.43"
"G1326","-0.7","0.5 (0.32-0.78)","9.4","0.0022"
"G7216","-0.12","0.89 (0.57-1.4)","0.25","0.62"
"G2173","0.14","1.2 (0.89-1.5)","1.2","0.28"
"G1949","-0.12","0.88 (0.57-1.4)","0.31","0.58"
"G3673","0.6","1.8 (1.3-2.6)","12","0.00044"
"G1667","-0.29","0.75 (0.52-1.1)","2.4","0.12"
"G1668","-0.29","0.75 (0.52-1.1)","2.4","0.12"
"G728358","-0.29","0.75 (0.52-1.1)","2.4","0.12"
"G9134","0.28","1.3 (0.97-1.8)","3","0.081"
"G9150","1.4","4 (1.5-10)","8.1","0.0044"
"G11157","-0.22","0.8 (0.29-2.2)","0.18","0.67"
"G11020","-0.37","0.69 (0.35-1.4)","1.2","0.28"
"G5004","-0.022","0.98 (0.78-1.2)","0.04","0.85"
"G5005","-0.025","0.98 (0.79-1.2)","0.05","0.82"
"G10020","0.73","2.1 (1-4.3)","4","0.044"
"G1080","-0.21","0.81 (0.63-1)","2.6","0.11"
"G2568","0.14","1.2 (1-1.3)","6.4","0.011"
"G11216","-0.65","0.52 (0.3-0.92)","5","0.026"
"G1062","0.41","1.5 (1.2-1.9)","9.7","0.0018"
"G440","-0.026","0.97 (0.56-1.7)","0.01","0.93"
"G5723","-0.096","0.91 (0.64-1.3)","0.3","0.58"
"G3815","-0.2","0.82 (0.57-1.2)","1.1","0.29"
"G549","-0.074","0.93 (0.42-2.1)","0.03","0.86"
"G5557","0.91","2.5 (1.6-3.9)","16","8e-05"
"G4703","-0.26","0.77 (0.47-1.3)","1","0.31"
"G3682","-0.48","0.62 (0.26-1.5)","1.2","0.27"
"G27239","-0.093","0.91 (0.69-1.2)","0.45","0.5"
"G3425","0.65","1.9 (0.94-3.9)","3.2","0.075"
"G8505","0.39","1.5 (0.67-3.3)","0.92","0.34"
"G5393","1","2.8 (1.2-6.2)","6.3","0.012"
"G5926","-0.95","0.39 (0.19-0.79)","6.8","0.009"
"G8487","-0.18","0.84 (0.33-2.1)","0.14","0.71"
"G6699","0.16","1.2 (1.1-1.3)","8.4","0.0039"
"G5167","0.76","2.1 (1.5-3.1)","17","4.8e-05"
"G3553","0.47","1.6 (1.1-2.4)","5.8","0.016"
"G23092","0.015","1 (0.54-1.9)","0","0.96"
"G54556","-2.3","0.1 (0.037-0.3)","18","2e-05"
"G7518","0.51","1.7 (0.94-2.9)","3.1","0.08"
"G1573","-0.14","0.87 (0.59-1.3)","0.5","0.48"
"G6584","-0.16","0.85 (0.48-1.5)","0.29","0.59"
"G5345","0.087","1.1 (0.73-1.6)","0.18","0.67"
"G5281","0.71","2 (0.69-6)","1.7","0.2"
"G8777","-0.7","0.49 (0.28-0.88)","5.7","0.017"
"G5915","0.15","1.2 (0.54-2.5)","0.15","0.69"
"G1396","0.057","1.1 (0.65-1.7)","0.05","0.82"
"G316","-0.17","0.84 (0.59-1.2)","0.9","0.34"
"G55973","-1.8","0.17 (0.065-0.45)","13","0.00034"
"G4998","0.49","1.6 (1.3-2.1)","15","0.00013"
"G29781","-0.38","0.69 (0.26-1.8)","0.58","0.44"
"G25950","-0.53","0.59 (0.26-1.3)","1.6","0.21"
"G10046","-0.15","0.86 (0.55-1.4)","0.41","0.52"
"G51172","0.77","2.2 (1.1-4.4)","4.6","0.031"
"G5965","0.72","2.1 (0.99-4.3)","3.8","0.053"
"G22874","-0.022","0.98 (0.72-1.3)","0.02","0.89"
"G5193","0.31","1.4 (0.56-3.3)","0.48","0.49"
"G535","0.61","1.8 (1-3.3)","4.3","0.037"
"G9883","-2.1","0.12 (0.038-0.38)","13","0.00034"
"G1836","-0.64","0.53 (0.27-1)","3.3","0.068"
"G1230","0.43","1.5 (1-2.3)","4.5","0.034"
"G9945","0.49","1.6 (1.1-2.4)","6.6","0.01"
"G4261","0.24","1.3 (0.66-2.4)","0.52","0.47"
"G9751","-0.061","0.94 (0.67-1.3)","0.13","0.72"
"G4124","1","2.7 (1.2-6.1)","5.9","0.015"
"G4515","-0.57","0.57 (0.29-1.1)","2.8","0.094"
"G100272147","0.01","1 (0.5-2.1)","0","0.98"
"G1945","0.32","1.4 (0.75-2.5)","1.1","0.29"
"G338","0.35","1.4 (0.99-2)","3.6","0.059"
"G50649","-0.052","0.95 (0.57-1.6)","0.04","0.84"
"G101930241","0.45","1.6 (0.94-2.6)","3","0.083"
"G2258","-0.15","0.86 (0.64-1.2)","0.93","0.33"
"G4741","-0.085","0.92 (0.64-1.3)","0.2","0.65"
"G6348","-0.17","0.85 (0.6-1.2)","0.88","0.35"
"G6349","-0.17","0.85 (0.6-1.2)","0.88","0.35"
"G414062","-0.17","0.85 (0.6-1.2)","0.88","0.35"
"G9904","-0.21","0.81 (0.26-2.5)","0.14","0.71"
"G3908","-0.42","0.65 (0.44-0.98)","4.3","0.039"
"G2357","0.075","1.1 (0.77-1.5)","0.19","0.66"
"G6443","1","2.7 (1.3-5.9)","6.6","0.01"
"G8577","-0.005","0.99 (0.62-1.6)","0","0.98"
"G100526694","-0.005","0.99 (0.62-1.6)","0","0.98"
"G4207","0.18","1.2 (0.87-1.6)","1.2","0.26"
"G100271849","0.18","1.2 (0.87-1.6)","1.2","0.26"
"G5333","-0.68","0.51 (0.23-1.1)","3","0.086"
"G7444","1.2","3.5 (1.9-6.4)","16","5.8e-05"
"G5742","-0.049","0.95 (0.5-1.8)","0.02","0.88"
"G10360","0.6","1.8 (0.91-3.6)","2.9","0.089"
"G5891","-0.32","0.73 (0.41-1.3)","1.2","0.28"
"G6320","1.2","3.2 (1.5-7)","8.8","0.003"
"G70","-0.39","0.68 (0.47-0.98)","4.3","0.038"
"G3336","0.48","1.6 (0.82-3.2)","2","0.16"
"G26747","0.17","1.2 (0.39-3.6)","0.09","0.76"
"G10083","0.15","1.2 (0.95-1.4)","2.1","0.15"
"G10090","-0.5","0.61 (0.45-0.82)","11","0.00098"
"G8790","-0.92","0.4 (0.18-0.88)","5.1","0.023"
"G283","0.025","1 (0.7-1.5)","0.02","0.9"
"G215","0.51","1.7 (0.88-3.2)","2.4","0.12"
"G1463","0.068","1.1 (0.71-1.6)","0.11","0.74"
"G84179","0.088","1.1 (0.66-1.8)","0.12","0.73"
"G4636","-0.11","0.9 (0.56-1.4)","0.21","0.65"
"G9546","0.21","1.2 (0.62-2.4)","0.35","0.55"
"G4689","0.27","1.3 (0.73-2.4)","0.81","0.37"
"G1183","-0.32","0.73 (0.42-1.3)","1.3","0.26"
"G9865","0.25","1.3 (0.88-1.9)","1.7","0.2"
"G6529","-0.38","0.68 (0.47-0.99)","4","0.044"
"G958","0.042","1 (0.45-2.4)","0.01","0.92"
"G10446","0.038","1 (0.78-1.4)","0.07","0.8"
"G6712","0.15","1.2 (0.88-1.5)","1.1","0.29"
"G41","0.013","1 (0.67-1.5)","0","0.95"
"G3872","0.3","1.4 (1.1-1.7)","6.7","0.0095"
"G6038","-0.19","0.83 (0.55-1.2)","0.85","0.36"
"G1439","0.0052","1 (0.64-1.6)","0","0.98"
"G8800","0.08","1.1 (0.71-1.6)","0.14","0.71"
"G29895","0.43","1.5 (1.1-2.1)","6.8","0.0093"
"G23464","-0.051","0.95 (0.6-1.5)","0.05","0.83"
"G1951","0.22","1.2 (0.9-1.7)","1.8","0.19"
"G726","0.26","1.3 (0.93-1.8)","2.3","0.13"
"G995","0.63","1.9 (1.2-2.8)","8.7","0.0032"
"G4921","0.027","1 (0.61-1.7)","0.01","0.92"
"G5929","0.053","1.1 (0.4-2.8)","0.01","0.91"
"G6773","0.021","1 (0.48-2.2)","0","0.96"
"G5775","-1.5","0.22 (0.12-0.41)","23","1.7e-06"
"G1212","0.93","2.5 (1.7-3.8)","20","6.6e-06"
"G965","0.78","2.2 (1-4.5)","4.3","0.039"
"G25797","0.59","1.8 (1.4-2.3)","23","2e-06"
"G3795","0.15","1.2 (0.71-1.9)","0.37","0.55"
"G23421","0.94","2.6 (1.2-5.3)","6.5","0.011"
"G7135","-0.1","0.9 (0.55-1.5)","0.17","0.68"
"G101","0.58","1.8 (1.1-2.8)","6.5","0.011"
"G7746","-0.15","0.86 (0.36-2.1)","0.11","0.74"
"G25799","-0.45","0.64 (0.49-0.84)","10","0.0014"
"G11005","-0.064","0.94 (0.79-1.1)","0.53","0.47"
"G7802","-0.2","0.82 (0.64-1)","2.6","0.11"
"G4090","-0.88","0.42 (0.17-1)","3.5","0.06"
"G5357","-0.039","0.96 (0.6-1.5)","0.03","0.87"
"G9020","-0.63","0.53 (0.29-0.96)","4.4","0.035"
"G23764","0.0023","1 (0.65-1.5)","0","0.99"
"G1174","0.0066","1 (0.6-1.7)","0","0.98"
"G538","-0.76","0.47 (0.21-1.1)","3.4","0.066"
"G768","0.38","1.5 (1.2-1.8)","13","0.00029"
"G7123","-0.37","0.69 (0.54-0.89)","8.1","0.0044"
"G23016","-0.77","0.46 (0.24-0.89)","5.3","0.021"
"G5110","1.4","4 (1.2-13)","5.2","0.023"
"G4828","0.62","1.9 (1.1-3)","6.3","0.012"
"G5971","1.2","3.3 (1.5-7.4)","8.2","0.0041"
"G3730","-0.12","0.88 (0.56-1.4)","0.3","0.58"
"G3569","0.012","1 (0.84-1.2)","0.02","0.9"
"G10840","-0.0074","0.99 (0.49-2)","0","0.98"
"G91","0.18","1.2 (0.56-2.6)","0.23","0.63"
"G9392","1.4","4.2 (0.85-20)","3.1","0.078"
"G9610","0.7","2 (0.93-4.4)","3.1","0.077"
"G9744","-0.26","0.77 (0.49-1.2)","1.3","0.26"
"G9262","-0.48","0.62 (0.36-1)","3.2","0.074"
"G6045","0.23","1.3 (0.51-3.1)","0.24","0.62"
"G350","-0.21","0.81 (0.65-1)","3.4","0.065"
"G1678","-0.84","0.43 (0.23-0.8)","7.2","0.0075"
"G10621","-1.2","0.29 (0.14-0.59)","11","0.00071"
"G2585","-0.71","0.49 (0.17-1.4)","1.8","0.18"
"G8843","-0.048","0.95 (0.75-1.2)","0.15","0.7"
"G3081","0.13","1.1 (0.94-1.4)","1.8","0.18"
"G1962","-1.2","0.31 (0.16-0.61)","11","0.00071"
"G9681","0.15","1.2 (0.51-2.7)","0.13","0.72"
"G6835","0.033","1 (0.78-1.4)","0.05","0.82"
"G2099","-0.44","0.64 (0.28-1.5)","1","0.31"
"G5157","0.23","1.3 (0.93-1.7)","2.2","0.14"
"G3556","0.38","1.5 (0.95-2.2)","3","0.081"
"G5939","-1.3","0.29 (0.12-0.7)","7.5","0.0063"
"G22895","-0.18","0.84 (0.59-1.2)","0.98","0.32"
"G7957","-0.73","0.48 (0.24-0.96)","4.3","0.038"
"G5051","0.6","1.8 (0.93-3.6)","3","0.081"
"G9122","-0.2","0.82 (0.58-1.2)","1.2","0.27"
"G9585","0.48","1.6 (0.95-2.7)","3.1","0.078"
"G6649","-0.058","0.94 (0.55-1.6)","0.05","0.83"
"G2219","-0.18","0.84 (0.6-1.2)","1.1","0.29"
"G29899","-0.24","0.79 (0.52-1.2)","1.3","0.25"
"G9997","0.6","1.8 (1-3.2)","4.4","0.035"
"G10563","0.051","1.1 (0.91-1.2)","0.47","0.49"
"G64849","-0.072","0.93 (0.61-1.4)","0.11","0.74"
"G50855","-0.044","0.96 (0.46-2)","0.01","0.91"
"G4855","-0.84","0.43 (0.2-0.93)","4.7","0.031"
"G9980","-0.059","0.94 (0.46-1.9)","0.03","0.87"
"G1959","-0.18","0.83 (0.57-1.2)","0.94","0.33"
"G8864","-0.57","0.57 (0.36-0.9)","5.8","0.016"
"G7727","0.44","1.6 (0.83-2.9)","1.9","0.16"
"G5087","-0.36","0.7 (0.41-1.2)","1.8","0.17"
"G6932","0.053","1.1 (0.64-1.7)","0.04","0.84"
"G9880","-0.36","0.7 (0.29-1.7)","0.65","0.42"
"G273","0.43","1.5 (1.1-2.2)","5","0.025"
"G3625","-0.051","0.95 (0.7-1.3)","0.11","0.74"
"G4306","-0.58","0.56 (0.41-0.77)","12","0.00044"
"G97","-0.59","0.55 (0.36-0.85)","7.1","0.0077"
"G3757","-0.44","0.65 (0.4-1)","3.4","0.066"
"G10849","0.71","2 (1.3-3.2)","9.3","0.0023"
"G3976","0.27","1.3 (0.95-1.8)","2.8","0.096"
"G119","-0.85","0.43 (0.24-0.75)","8.8","0.003"
"G3937","0.064","1.1 (0.63-1.8)","0.06","0.81"
"G23552","-0.76","0.47 (0.19-1.2)","2.7","0.1"
"G5554","0.1","1.1 (0.73-1.7)","0.23","0.64"
"G5555","0.35","1.4 (1.1-1.8)","7.2","0.0074"
"G10531","0.17","1.2 (0.65-2.2)","0.31","0.58"
"G9567","0.89","2.4 (1-5.7)","4.2","0.041"
"G2571","0.24","1.3 (1.1-1.5)","6.4","0.011"
"G2743","-0.13","0.88 (0.55-1.4)","0.3","0.58"
"G5277","-0.41","0.66 (0.41-1.1)","2.7","0.1"
"G7804","-0.0038","1 (0.61-1.6)","0","0.99"
"G2218","0.068","1.1 (0.4-2.9)","0.02","0.89"
"G9816","0.35","1.4 (0.54-3.7)","0.51","0.48"
"G2533","0.37","1.4 (0.9-2.3)","2.3","0.13"
"G7022","0.18","1.2 (0.82-1.7)","0.85","0.36"
"G8556","-0.44","0.65 (0.32-1.3)","1.5","0.22"
"G650","-0.3","0.74 (0.57-0.96)","5","0.025"
"G3560","0.2","1.2 (0.82-1.8)","0.92","0.34"
"G3181","0.16","1.2 (0.44-3.1)","0.1","0.75"
"G10458","-0.57","0.56 (0.35-0.91)","5.6","0.018"
"G1160","-0.27","0.77 (0.53-1.1)","2.1","0.15"
"G4968","-0.5","0.6 (0.3-1.2)","2","0.16"
"G3484","0.17","1.2 (0.9-1.6)","1.5","0.22"
"G3764","-0.19","0.83 (0.55-1.2)","0.8","0.37"
"G2267","0.13","1.1 (0.96-1.4)","2.3","0.13"
"G8564","0.12","1.1 (0.76-1.7)","0.37","0.54"
"G23403","1.2","3.2 (1.4-7.3)","7.7","0.0054"
"G1644","-0.14","0.87 (0.66-1.1)","1.1","0.3"
"G6688","-0.14","0.87 (0.64-1.2)","0.8","0.37"
"G6928","-0.57","0.57 (0.41-0.78)","12","0.00046"
"G6645","-0.24","0.78 (0.27-2.3)","0.2","0.65"
"G6565","-0.59","0.55 (0.38-0.8)","10","0.0016"
"G3798","0.48","1.6 (0.79-3.3)","1.7","0.19"
"G8000","0.16","1.2 (1-1.3)","5.2","0.023"
"G10297","-0.28","0.76 (0.42-1.4)","0.86","0.35"
"G1968","0.42","1.5 (0.59-3.9)","0.76","0.38"
"G4520","-0.035","0.97 (0.17-5.5)","0","0.97"
"G24140","0.64","1.9 (1.1-3.2)","5.7","0.017"
"G9796","-0.018","0.98 (0.75-1.3)","0.02","0.89"
"G10268","-0.2","0.82 (0.6-1.1)","1.6","0.2"
"G92","-0.55","0.58 (0.27-1.2)","2.1","0.15"
"G8723","1.5","4.5 (1.8-12)","10","0.0016"
"G4330","0.2","1.2 (0.82-1.8)","0.97","0.32"
"G51308","0.77","2.2 (1.4-3.3)","13","4e-04"
"G9986","0.55","1.7 (0.87-3.4)","2.5","0.12"
"G6271","-0.12","0.89 (0.68-1.2)","0.79","0.37"
"G6728","-0.94","0.39 (0.14-1.1)","3.3","0.069"
"G5816","0.12","1.1 (0.88-1.4)","0.91","0.34"
"G1638","-0.63","0.53 (0.34-0.84)","7.5","0.0062"
