"","beta","HR (95% CI for HR)","wald.test","p.value"
"G22798","-0.16","0.85 (0.037-20)","0.01","0.92"
"G26108","-0.96","0.38 (0.049-3)","0.85","0.36"
"G22986","1.2","3.4 (0.14-85)","0.55","0.46"
"G202559","0.49","1.6 (0.62-4.3)","1","0.32"
"G57615","-0.68","0.51 (0.089-2.9)","0.58","0.45"
"G10554","0.57","1.8 (0.39-8)","0.54","0.46"
"G3120","-0.12","0.89 (0.65-1.2)","0.57","0.45"
"G23256","-1.1","0.35 (0.078-1.5)","1.9","0.16"
"G54516","0.21","1.2 (0.15-10)","0.04","0.85"
"G101929272","-0.69","0.5 (0.31-0.82)","7.8","0.0053"
"G389524","0.54","1.7 (0.37-8.1)","0.47","0.49"
"G284323","0.34","1.4 (0.42-4.7)","0.31","0.58"
"G100128640","-0.83","0.44 (0.059-3.2)","0.66","0.42"
"G100616497","-0.17","0.85 (0.43-1.7)","0.23","0.63"
"G26046","1.1","2.9 (0.59-14)","1.7","0.19"
"G100049076","0.11","1.1 (0.71-1.8)","0.22","0.64"
"G2679","0.18","1.2 (0.5-2.9)","0.17","0.68"
"G100132705","0.18","1.2 (0.5-2.9)","0.17","0.68"
"G102724197","0.18","1.2 (0.5-2.9)","0.17","0.68"
"G26010","0.39","1.5 (0.56-3.9)","0.63","0.43"
"G51533","-1.1","0.34 (0.0083-14)","0.32","0.57"
"G7249","0.79","2.2 (0.61-8)","1.5","0.23"
"G101926913","-2.6","0.077 (0.0024-2.4)","2.1","0.15"
"G79469","0.58","1.8 (1-3.1)","4.3","0.039"
"G25855","-0.33","0.72 (0.19-2.7)","0.25","0.62"
"G63973","-0.054","0.95 (0.28-3.2)","0.01","0.93"
"G100289255","0.35","1.4 (0.46-4.4)","0.36","0.55"
"G55876","0.14","1.2 (0.47-2.8)","0.09","0.76"
"G2044","0.24","1.3 (0.4-4)","0.17","0.68"
"G5364","1.8","5.8 (0.61-55)","2.3","0.13"
"G440792","-5.1","0.0062 (0.00022-0.17)","8.9","0.0029"
"G85368","0.82","2.3 (0.098-53)","0.26","0.61"
"G84164","-0.26","0.77 (0.31-1.9)","0.32","0.57"
"G6462","-0.045","0.96 (0.15-6.3)","0","0.96"
"G55661","-0.39","0.68 (0.22-2)","0.49","0.49"
"G79029","0.14","1.2 (0.37-3.6)","0.06","0.81"
"G9919","-0.91","0.4 (0.12-1.4)","2.1","0.15"
"G2312","0.63","1.9 (0.056-63)","0.12","0.73"
"G3483","0.69","2 (1-3.8)","4.4","0.036"
"G23469","-0.45","0.64 (0.12-3.3)","0.28","0.6"
"G100293211","-1.4","0.25 (0.097-0.64)","8.2","0.0041"
"G25786","-0.051","0.95 (0.2-4.4)","0","0.95"
"G113878","-0.02","0.98 (0.37-2.6)","0","0.97"
"G102725292","-0.02","0.98 (0.37-2.6)","0","0.97"
"G27012","0.14","1.2 (0.16-8.3)","0.02","0.89"
"G100861554","0.12","1.1 (0.065-19)","0.01","0.94"
"G100130741","0.16","1.2 (0.14-10)","0.02","0.88"
"G26993","0.73","2.1 (0.12-36)","0.25","0.62"
"G64689","1.2","3.4 (0.17-68)","0.66","0.42"
"G64062","-1","0.37 (0.047-2.9)","0.92","0.34"
"G730227","-0.047","0.95 (0.093-9.8)","0","0.97"
"G79998","-0.35","0.7 (0.056-8.8)","0.07","0.79"
"G91752","0.3","1.3 (0.18-10)","0.09","0.77"
"G8587","2.6","13 (0.37-470)","2","0.16"
"G3645","0.42","1.5 (0.3-7.7)","0.25","0.62"
"G55547","-0.31","0.73 (0.024-23)","0.03","0.86"
"G642869","-0.015","0.98 (0.55-1.8)","0","0.96"
"G282808","1","2.8 (0.63-12)","1.8","0.18"
"G26999","-0.037","0.96 (0.46-2)","0.01","0.92"
"G85452","0.29","1.3 (0.16-11)","0.07","0.79"
"G9108","0.31","1.4 (0.62-3)","0.6","0.44"
"G57644","-0.93","0.39 (0.036-4.3)","0.58","0.45"
"G28683","0.26","1.3 (0.16-10)","0.06","0.81"
"G55086","1.2","3.3 (0.83-13)","2.9","0.089"
"G386757","-0.004","1 (0.2-5)","0","1"
"G653562","-0.024","0.98 (0.45-2.1)","0","0.95"
"G283927","-1.3","0.28 (0.056-1.4)","2.4","0.12"
"G6006","-0.59","0.55 (0.17-1.8)","0.93","0.33"
"G51132","0.08","1.1 (0.26-4.5)","0.01","0.91"
"G90485","-0.53","0.59 (0.099-3.5)","0.34","0.56"
"G114819","1.9","7 (0.45-110)","1.9","0.16"
"G146754","1","2.7 (0.67-11)","2","0.16"
"G2979","-1.2","0.31 (0.026-3.7)","0.85","0.36"
"G283755","0.37","1.5 (0.81-2.6)","1.6","0.21"
"G101930458","0.37","1.5 (0.81-2.6)","1.6","0.21"
"G118491","0.42","1.5 (0.51-4.6)","0.55","0.46"
"G284266","0.19","1.2 (0.26-5.6)","0.06","0.8"
"G56926","0.74","2.1 (0.2-22)","0.38","0.54"
"G91683","-0.042","0.96 (0.33-2.8)","0.01","0.94"
"G101927770","0.3","1.3 (0.18-10)","0.08","0.77"
"G29978","-0.081","0.92 (0.31-2.8)","0.02","0.89"
"G126070","0.23","1.3 (0.22-7.2)","0.06","0.8"
"G5729","-0.03","0.97 (0.054-17)","0","0.98"
"G9410","-0.58","0.56 (0.25-1.3)","1.9","0.17"
"G243469","-1.3","0.27 (0.085-0.86)","4.9","0.027"
"G642636","-0.77","0.46 (0.015-14)","0.19","0.66"
"G283970","-0.54","0.58 (0.19-1.7)","0.95","0.33"
"G440348","-0.73","0.48 (0.17-1.3)","2","0.16"
"G728741","0.38","1.5 (0.59-3.6)","0.69","0.41"
"G971","-0.32","0.73 (0.34-1.5)","0.7","0.4"
"G10564","-0.34","0.71 (0.19-2.6)","0.27","0.61"
"G100507605","2.4","11 (0.13-960)","1.1","0.29"
"G51438","-0.6","0.55 (0.21-1.4)","1.5","0.22"
"G26165","0.24","1.3 (0.31-5.1)","0.11","0.74"
"G389730","0.24","1.3 (0.31-5.1)","0.11","0.74"
"G647060","0.24","1.3 (0.31-5.1)","0.11","0.74"
"G727830","0.24","1.3 (0.31-5.1)","0.11","0.74"
"G727905","0.24","1.3 (0.31-5.1)","0.11","0.74"
"G101927498","2.9","17 (0.83-370)","3.4","0.066"
"G85375","1.4","4 (1.2-13)","5.1","0.024"
"G91353","-0.56","0.57 (0.36-0.89)","6.2","0.013"
"G84908","0.21","1.2 (0.31-5)","0.09","0.77"
"G100287852","0.21","1.2 (0.31-5)","0.09","0.77"
"G284649","-1.9","0.16 (0.0059-4.1)","1.2","0.27"
"G6527","0.063","1.1 (0.15-7.7)","0","0.95"
"G2713","-0.0069","0.99 (0.6-1.6)","0","0.98"
"G100130331","-2.2","0.11 (0.0035-3.4)","1.6","0.21"
"G80868","-0.83","0.43 (0.086-2.2)","1","0.31"
"G170960","0.41","1.5 (0.43-5.2)","0.42","0.52"
"G3508","-2.8","0.059 (0.003-1.2)","3.4","0.064"
"G100505534","-2.6","0.074 (0.0011-4.9)","1.5","0.22"
"G7993","-0.035","0.97 (0.49-1.9)","0.01","0.92"
"G80862","-0.69","0.5 (0.027-9.4)","0.21","0.64"
"G100507399","0.095","1.1 (0.1-12)","0.01","0.94"
"G84733","-0.39","0.68 (0.12-3.8)","0.19","0.66"
"G390999","-0.89","0.41 (0.067-2.5)","0.91","0.34"
"G55334","0.78","2.2 (0.43-11)","0.89","0.34"
"G5426","-0.17","0.84 (0.23-3)","0.07","0.79"
"G6407","1.4","3.9 (0.054-280)","0.39","0.53"
"G129025","-1.6","0.2 (0.026-1.5)","2.5","0.12"
"G284800","1.4","4.2 (1.4-13)","6.2","0.013"
"G1557","3.3","27 (0.32-2200)","2.1","0.15"
"G3044","0.53","1.7 (0.3-9.8)","0.36","0.55"
"G390616","1","2.7 (0.054-140)","0.25","0.62"
"G389715","0.045","1 (0.089-12)","0","0.97"
"G26105","-4.8","0.0085 (0.00031-0.23)","8","0.0048"
"G84033","0.28","1.3 (0.08-22)","0.04","0.84"
"G93164","-1.4","0.25 (0.026-2.4)","1.5","0.22"
"G145678","1.2","3.2 (0.36-28)","1.1","0.29"
"G100129503","1.3","3.5 (0.67-19)","2.2","0.14"
"G51517","1.7","5.3 (0.29-98)","1.3","0.26"
"G102724368","-0.63","0.53 (0.054-5.3)","0.29","0.59"
"G25876","1.3","3.5 (0.73-17)","2.5","0.12"
"G101929597","0.9","2.5 (0.65-9.4)","1.8","0.19"
"G147172","5.1","160 (5.1-5300)","8.3","0.004"
"G55206","0.33","1.4 (0.3-6.4)","0.18","0.67"
"G387535","0.46","1.6 (0.47-5.4)","0.54","0.46"
"G28516","0.17","1.2 (0.35-4)","0.07","0.79"
"G400084","-0.009","0.99 (0.14-7.1)","0","0.99"
"G1370","0.98","2.7 (0.55-13)","1.5","0.22"
"G6875","0.42","1.5 (0.81-2.8)","1.7","0.19"
"G144195","-0.084","0.92 (0.51-1.7)","0.08","0.78"
"G84820","-1.2","0.31 (0.044-2.2)","1.4","0.24"
"G9404","-1.1","0.35 (0.13-0.97)","4","0.044"
"G2918","0.46","1.6 (0.13-19)","0.13","0.72"
"G100506699","-2.1","0.13 (0.0098-1.7)","2.4","0.12"
"G60436","-0.81","0.44 (0.12-1.6)","1.5","0.22"
"G3913","-1","0.37 (0.11-1.2)","2.7","0.1"
"G11070","0.57","1.8 (0.46-6.7)","0.69","0.41"
"G10794","1.2","3.2 (0.095-110)","0.42","0.52"
"G1587","0.76","2.1 (0.29-16)","0.55","0.46"
"G10800","-0.72","0.49 (0.23-1)","3.6","0.06"
"G347088","1.1","2.9 (0.57-14)","1.7","0.2"
"G7517","0.92","2.5 (0.58-11)","1.5","0.22"
"G343069","0.52","1.7 (0.034-82)","0.07","0.79"
"G440563","0.52","1.7 (0.034-82)","0.07","0.79"
"G649330","0.52","1.7 (0.034-82)","0.07","0.79"
"G101060301","0.52","1.7 (0.034-82)","0.07","0.79"
"G57551","2","7.4 (0.8-69)","3.1","0.078"
"G728361","-1.9","0.14 (0.013-1.6)","2.5","0.11"
"G54661","2.2","9.3 (0.2-440)","1.3","0.26"
"G8841","0.81","2.2 (0.4-13)","0.83","0.36"
"G1550","-0.29","0.75 (0.066-8.5)","0.05","0.82"
"G25844","1.4","4.2 (1.5-12)","7.3","0.0069"
"G266629","-0.8","0.45 (0.048-4.2)","0.49","0.48"
"G23368","0.35","1.4 (0.62-3.3)","0.7","0.4"
"G7556","-0.81","0.45 (0.11-1.8)","1.3","0.26"
"G4589","0.32","1.4 (0.022-86)","0.02","0.88"
"G202018","0.6","1.8 (0.49-6.9)","0.8","0.37"
"G220077","-1.6","0.2 (0.02-1.9)","1.9","0.16"
"G57626","0.5","1.7 (0.023-120)","0.05","0.82"
"G26148","-0.55","0.57 (0.051-6.4)","0.2","0.65"
"G100510710","0.27","1.3 (0.19-8.8)","0.08","0.78"
"G284904","0.27","1.3 (0.62-2.8)","0.5","0.48"
"G160824","0.066","1.1 (0.31-3.7)","0.01","0.92"
"G6315","-3.7","0.024 (0.0012-0.49)","5.9","0.015"
"G55697","0.67","1.9 (0.35-11)","0.58","0.45"
"G81697","-0.56","0.57 (0.024-14)","0.12","0.73"
"G3219","-2.2","0.11 (0.012-1)","3.8","0.052"
"G90011","0.18","1.2 (0.054-27)","0.01","0.91"
"G55020","2.4","11 (1.1-110)","4.3","0.039"
"G7114","-0.16","0.86 (0.082-9)","0.02","0.9"
"G57336","-0.015","0.99 (0.068-14)","0","0.99"
"G130814","-1.7","0.18 (0.024-1.3)","2.8","0.095"
"G414771","-0.73","0.48 (0.037-6.4)","0.31","0.58"
"G101927181","0.048","1 (0.14-7.7)","0","0.96"
"G91120","0.12","1.1 (0.68-1.9)","0.22","0.64"
"G102725136","1.9","6.7 (0.38-120)","1.7","0.2"
"G80852","0.14","1.1 (0.18-7.2)","0.02","0.89"
"G56005","-0.08","0.92 (0.29-3)","0.02","0.89"
"G101927086","0.55","1.7 (0.14-22)","0.18","0.67"
"G102723620","0.33","1.4 (0.26-7.4)","0.15","0.7"
"G79184","-0.65","0.52 (0.2-1.4)","1.7","0.19"
"G26212","-1.2","0.31 (0.029-3.4)","0.92","0.34"
"G404281","0.53","1.7 (0.28-10)","0.33","0.57"
"G26651","1.4","3.9 (0.49-31)","1.6","0.2"
"G92552","-0.14","0.87 (0.1-7.1)","0.02","0.89"
"G100093698","-0.36","0.7 (0.051-9.6)","0.07","0.79"
"G128872","-0.45","0.64 (0.38-1.1)","2.8","0.096"
"G55633","0.39","1.5 (0.26-8.5)","0.2","0.66"
"G3809","0.66","1.9 (0.74-5)","1.8","0.18"
"G102724905","1.2","3.4 (0.53-22)","1.7","0.2"
"G2300","-0.47","0.63 (0.1-3.9)","0.25","0.62"
"G729020","1.1","3.1 (1.2-7.9)","5.7","0.017"
"G127534","0.83","2.3 (0.25-21)","0.53","0.46"
"G94026","-0.71","0.49 (0.064-3.8)","0.47","0.49"
"G8325","-1.4","0.24 (0.064-0.92)","4.4","0.037"
"G100616500","-1.4","0.24 (0.064-0.92)","4.4","0.037"
"G346562","-0.3","0.74 (0.058-9.4)","0.05","0.82"
"G139081","1.3","3.5 (0.6-21)","1.9","0.16"
"G6347","-0.22","0.8 (0.48-1.3)","0.69","0.41"
"G90586","-2.4","0.091 (0.0051-1.6)","2.7","0.1"
"G26102","-1","0.35 (0.019-6.7)","0.48","0.49"
"G3359","-0.44","0.64 (0.3-1.4)","1.3","0.25"
"G4099","0.013","1 (0.15-6.7)","0","0.99"
"G85865","2.5","13 (0.58-270)","2.6","0.11"
"G101927446","2.2","9.4 (0.93-94)","3.6","0.058"
"G79075","0.75","2.1 (0.71-6.3)","1.8","0.18"
"G1720","2.3","9.9 (0.18-560)","1.2","0.26"
"G4648","1.4","4.1 (0.29-57)","1.1","0.29"
"G101929148","1.4","4.2 (0.15-120)","0.7","0.4"
"G93432","-0.8","0.45 (0.045-4.4)","0.48","0.49"
"G643332","0.11","1.1 (0.037-34)","0","0.95"
"G100129528","-1.3","0.28 (0.0097-8.3)","0.53","0.47"
"G50858","0.17","1.2 (0.19-7.5)","0.03","0.86"
"G100101116","0.17","1.2 (0.19-7.5)","0.03","0.86"
"G115653","0.2","1.2 (0.82-1.8)","0.98","0.32"
"G26664","-3.1","0.044 (0.0034-0.57)","5.7","0.017"
"G58510","1.2","3.2 (0.52-20)","1.6","0.21"
"G10821","-0.42","0.65 (0.23-1.9)","0.62","0.43"
"G3816","1.8","5.8 (0.5-67)","2","0.16"
"G100129271","0.33","1.4 (0.041-47)","0.03","0.85"
"G6872","-1.2","0.29 (0.056-1.5)","2.2","0.14"
"G253512","0.56","1.7 (0.024-130)","0.06","0.8"
"G388699","-4.6","0.01 (0.00011-0.92)","4","0.046"
"G139538","1.1","3 (0.1-89)","0.41","0.52"
"G166614","-3.2","0.042 (0.0013-1.3)","3.2","0.072"
"G53345","-0.61","0.54 (0.032-9.1)","0.18","0.67"
"G149628","-1.4","0.23 (0.063-0.88)","4.6","0.032"
"G114884","0.3","1.4 (0.17-11)","0.08","0.78"
"G54979","-0.49","0.61 (0.076-4.9)","0.21","0.65"
"G54532","0.0067","1 (0.35-2.9)","0","0.99"
"G1538","0.27","1.3 (0.023-77)","0.02","0.9"
"G401630","0.32","1.4 (0.42-4.5)","0.29","0.59"
"G84200","-2.7","0.069 (0.0038-1.3)","3.2","0.073"
"G693207","0.29","1.3 (0.38-4.7)","0.21","0.65"
"G100132476","-0.18","0.84 (0.012-58)","0.01","0.93"
"G140678","-1.4","0.26 (0.03-2.2)","1.5","0.22"
"G100505874","-0.22","0.81 (0.25-2.6)","0.13","0.71"
"G8924","0.043","1 (0.09-12)","0","0.97"
"G390561","1.6","5 (0.69-37)","2.5","0.11"
"G101929047","1.5","4.6 (0.5-42)","1.8","0.18"
"G101929832","1.5","4.6 (0.5-42)","1.8","0.18"
"G10220","-1.3","0.27 (0.044-1.7)","1.9","0.16"
"G51561","-1.5","0.21 (0.01-4.4)","0.99","0.32"
"G57198","-0.29","0.75 (0.18-3)","0.16","0.68"
"G100505498","-1.2","0.3 (0.017-5.2)","0.69","0.41"
"G5545","0.7","2 (0.96-4.2)","3.4","0.064"
"G199870","-0.36","0.7 (0.088-5.5)","0.12","0.73"
"G54700","0.25","1.3 (0.33-4.9)","0.13","0.72"
"G653390","-0.067","0.94 (0.25-3.5)","0.01","0.92"
"G10367","0.78","2.2 (0.7-6.8)","1.8","0.18"
"G3886","-1.7","0.19 (0.0086-4.2)","1.1","0.3"
"G2209","-0.21","0.81 (0.23-2.9)","0.1","0.75"
"G100132417","-0.072","0.93 (0.46-1.9)","0.04","0.84"
"G84823","0.24","1.3 (0.7-2.3)","0.63","0.43"
"G7692","-0.74","0.48 (0.13-1.7)","1.3","0.26"
"G7767","-0.9","0.41 (0.12-1.4)","2.1","0.14"
"G3546","-0.5","0.6 (0.45-0.82)","11","0.0011"
"G860","0.077","1.1 (0.18-6.3)","0.01","0.93"
"G23609","0.89","2.4 (0.28-22)","0.64","0.42"
"G255926","1.2","3.2 (0.31-33)","0.94","0.33"
"G5232","0.35","1.4 (0.22-9.2)","0.14","0.71"
"G2636","0.59","1.8 (0.3-11)","0.41","0.52"
"G646282","-0.008","0.99 (0.56-1.7)","0","0.98"
"G389177","0.57","1.8 (0.29-11)","0.38","0.54"
"G101929550","-1.7","0.17 (0.018-1.7)","2.3","0.13"
"G3890","-0.67","0.51 (0.042-6.2)","0.28","0.6"
"G2298","1.3","3.7 (0.7-19)","2.4","0.12"
"G200350","1.3","3.7 (0.7-19)","2.4","0.12"
"G101928457","0.18","1.2 (0.1-14)","0.02","0.88"
"G2003","0.15","1.2 (0.21-6.4)","0.03","0.87"
"G51109","-1.6","0.2 (0.054-0.73)","6","0.015"
"G9436","0.95","2.6 (0.27-25)","0.68","0.41"
"G10824","0.52","1.7 (0.32-8.9)","0.37","0.54"
"G1760","0.36","1.4 (0.64-3.2)","0.77","0.38"
"G7686","0.67","2 (0.45-8.6)","0.79","0.37"
"G4584","0.16","1.2 (0.35-3.9)","0.07","0.8"
"G5369","1.8","6.3 (0.22-180)","1.2","0.28"
"G644591","1.4","4.2 (0.36-48)","1.3","0.25"
"G653505","1.4","4.2 (0.36-48)","1.3","0.25"
"G653598","1.4","4.2 (0.36-48)","1.3","0.25"
"G50852","-0.29","0.74 (0.41-1.4)","0.91","0.34"
"G442421","0.64","1.9 (0.24-15)","0.37","0.54"
"G147841","1","2.8 (0.38-20)","1","0.32"
"G442240","0.69","2 (0.46-8.7)","0.84","0.36"
"G639","-0.91","0.4 (0.15-1.1)","3.3","0.07"
"G10917","-0.38","0.68 (0.066-7.1)","0.1","0.75"
"G100287387","0.066","1.1 (0.19-6.1)","0.01","0.94"
"G23420","-1.8","0.16 (0.033-0.77)","5.2","0.023"
"G283820","-1.8","0.16 (0.033-0.77)","5.2","0.023"
"G408050","-1.4","0.25 (0.047-1.3)","2.6","0.11"
"G101060373","-1.8","0.16 (0.033-0.77)","5.2","0.023"
"G22983","-2.1","0.12 (0.022-0.7)","5.6","0.018"
"G100423062","-0.53","0.59 (0.43-0.81)","11","0.00099"
"G101930405","-0.99","0.37 (0.14-1)","3.7","0.056"
"G7710","-0.59","0.56 (0.06-5.1)","0.27","0.6"
"G102723479","-1.6","0.21 (0.053-0.81)","5.1","0.024"
"G60439","-1","0.35 (0.05-2.5)","1.1","0.3"
"G100101117","-1","0.35 (0.05-2.5)","1.1","0.3"
"G6138","1.5","4.4 (0.72-27)","2.6","0.11"
"G343071","0.6","1.8 (0.22-15)","0.32","0.57"
"G57446","0.51","1.7 (0.27-10)","0.31","0.58"
"G26184","0.16","1.2 (0.074-19)","0.01","0.91"
"G390892","2.2","8.9 (0.35-220)","1.8","0.18"
"G400322","-0.12","0.89 (0.41-1.9)","0.1","0.76"
"G440248","-0.12","0.89 (0.41-1.9)","0.1","0.76"
"G3128","-0.17","0.85 (0.39-1.8)","0.18","0.67"
"G3850","-0.46","0.63 (0.094-4.2)","0.23","0.63"
"G28568","-0.1","0.9 (0.15-5.4)","0.01","0.91"
"G647288","2.1","8.1 (1.6-43)","6.1","0.013"
"G442186","-0.087","0.92 (0.04-21)","0","0.96"
"G160313","1","2.8 (0.18-45)","0.55","0.46"
"G4007","0.29","1.3 (0.39-4.5)","0.21","0.65"
"G574449","1.5","4.5 (0.52-38)","1.9","0.17"
"G440560","-0.065","0.94 (0.17-5.3)","0.01","0.94"
"G100289473","0.85","2.3 (0.35-15)","0.78","0.38"
"G100505933","-0.14","0.87 (0.065-12)","0.01","0.92"
"G389898","0.69","2 (0.29-14)","0.48","0.49"
"G84560","2","7.3 (0.37-140)","1.7","0.19"
"G7770","-0.22","0.8 (0.27-2.4)","0.16","0.69"
"G55124","0.21","1.2 (0.15-10)","0.04","0.84"
"G3137","0.11","1.1 (0.49-2.5)","0.07","0.79"
"G101928278","1.1","3.1 (0.28-36)","0.84","0.36"
"G100131825","0.92","2.5 (0.23-28)","0.56","0.45"
"G101927792","-2.1","0.13 (0.0062-2.7)","1.8","0.18"
"G101928104","-1.5","0.21 (0.029-1.5)","2.4","0.12"
"G3108","0.11","1.1 (0.66-1.9)","0.17","0.68"
"G11191","1.5","4.5 (1.3-16)","5.3","0.021"
"G100506759","-0.23","0.79 (0.39-1.6)","0.42","0.52"
"G3433","0.2","1.2 (0.51-2.9)","0.2","0.66"
"G23460","-0.58","0.56 (0.25-1.3)","1.9","0.17"
"G1406","0.56","1.7 (0.18-17)","0.23","0.63"
"G284021","-0.12","0.89 (0.42-1.9)","0.09","0.76"
"G779","-1.2","0.29 (0.039-2.2)","1.5","0.23"
"G646278","-0.17","0.84 (0.51-1.4)","0.45","0.5"
"G101929232","-0.17","0.84 (0.51-1.4)","0.45","0.5"
"G169522","-1","0.35 (0.014-8.8)","0.41","0.52"
"G283298","-0.068","0.93 (0.38-2.3)","0.02","0.88"
"G114825","1","2.7 (0.59-13)","1.6","0.2"
"G51571","0.33","1.4 (0.43-4.5)","0.3","0.58"
"G91775","-0.89","0.41 (0.13-1.3)","2.3","0.13"
"G125893","0.62","1.9 (0.17-20)","0.26","0.61"
"G100500849","-0.8","0.45 (0.12-1.7)","1.4","0.23"
"G79784","-0.37","0.69 (0.2-2.3)","0.35","0.55"
"G4499","0.25","1.3 (0.83-2)","1.2","0.27"
"G171392","0.82","2.3 (0.97-5.3)","3.6","0.058"
"G348110","-1.5","0.23 (0.03-1.7)","2.1","0.15"
"G10819","0.14","1.2 (0.68-2)","0.28","0.6"
"G256227","0.17","1.2 (0.72-2)","0.47","0.49"
"G140801","-0.41","0.66 (0.23-1.9)","0.57","0.45"
"G339479","0.93","2.5 (1-6.2)","4.1","0.042"
"G142684","0.13","1.1 (0.09-14)","0.01","0.92"
"G90204","0.26","1.3 (0.22-7.5)","0.08","0.78"
"G65982","0.05","1.1 (0.33-3.3)","0.01","0.93"
"G51550","-0.9","0.41 (0.071-2.3)","1","0.31"
"G222663","0.43","1.5 (0.33-7.1)","0.3","0.58"
"G389856","-0.79","0.45 (0.12-1.7)","1.4","0.24"
"G441273","-0.33","0.72 (0.21-2.4)","0.29","0.59"
"G92609","-0.32","0.72 (0.18-2.8)","0.22","0.64"
"G90806","0.64","1.9 (0.58-6.3)","1.1","0.29"
"G23560","1.1","2.9 (0.72-11)","2.2","0.13"
"G220134","0.014","1 (0.53-1.9)","0","0.97"
"G51241","-0.17","0.85 (0.22-3.3)","0.06","0.81"
"G100529257","-0.63","0.53 (0.22-1.3)","1.9","0.17"
"G100127972","0.068","1.1 (0.24-4.9)","0.01","0.93"
"G147912","-0.92","0.4 (0.08-2)","1.3","0.26"
"G10780","-0.23","0.79 (0.15-4.1)","0.08","0.78"
"G126017","-0.03","0.97 (0.41-2.3)","0","0.94"
"G729799","-1.8","0.16 (0.034-0.76)","5.3","0.021"
"G388886","1","2.8 (0.38-21)","1","0.31"
"G751816","0.23","1.3 (0.67-2.4)","0.53","0.47"
"G201501","-0.18","0.84 (0.27-2.6)","0.09","0.76"
"G59339","-0.28","0.76 (0.32-1.8)","0.42","0.52"
"G7477","1.1","3 (0.76-11)","2.5","0.12"
"G100506898","-1.4","0.25 (0.036-1.7)","2","0.15"
"G245812","-0.49","0.61 (0.084-4.5)","0.23","0.63"
"G100500808","-1","0.37 (0.14-0.94)","4.4","0.036"
"G29927","0.39","1.5 (0.5-4.4)","0.49","0.48"
"G51386","0.91","2.5 (0.47-13)","1.2","0.28"
"G51142","0.66","1.9 (0.45-8.2)","0.78","0.38"
"G51335","0.21","1.2 (0.39-3.9)","0.13","0.72"
"G22818","1.3","3.8 (0.97-15)","3.7","0.056"
"G6277","-0.14","0.87 (0.47-1.6)","0.18","0.67"
"G166","0.56","1.8 (0.66-4.7)","1.3","0.26"
"G64114","0.12","1.1 (0.34-3.8)","0.04","0.84"
"G102465256","0.12","1.1 (0.34-3.8)","0.04","0.84"
"G9445","-0.18","0.84 (0.19-3.6)","0.06","0.81"
"G9168","-0.39","0.68 (0.064-7.2)","0.11","0.75"
"G11180","2","7.6 (1.3-43)","5.2","0.022"
"G27102","0.33","1.4 (0.44-4.3)","0.32","0.57"
"G51507","-1.5","0.22 (0.028-1.8)","2","0.16"
"G6130","2.3","10 (1-97)","4","0.046"
"G26814","2.3","10 (1-97)","4","0.046"
"G26815","2.3","10 (1-97)","4","0.046"
"G26820","2.3","10 (1-97)","4","0.046"
"G51322","1.1","2.9 (0.34-24)","0.93","0.33"
"G55754","-0.19","0.83 (0.33-2.1)","0.15","0.69"
"G80218","0.33","1.4 (0.46-4.2)","0.34","0.56"
"G10015","1.1","2.9 (0.42-20)","1.2","0.28"
"G51094","0.54","1.7 (0.5-5.9)","0.74","0.39"
"G22820","-0.66","0.52 (0.24-1.1)","2.9","0.086"
"G65264","-0.68","0.51 (0.094-2.7)","0.63","0.43"
"G373156","-0.5","0.61 (0.18-2.1)","0.63","0.43"
"G6231","-0.33","0.72 (0.28-1.9)","0.45","0.5"
"G441502","-0.33","0.72 (0.28-1.9)","0.45","0.5"
"G100996747","-0.33","0.72 (0.28-1.9)","0.45","0.5"
"G101929876","-0.33","0.72 (0.28-1.9)","0.45","0.5"
"G54606","0.45","1.6 (0.41-6)","0.43","0.51"
"G51155","0.74","2.1 (1-4.4)","3.8","0.05"
"G10169","-0.2","0.82 (0.18-3.7)","0.07","0.79"
"G25764","-0.35","0.7 (0.12-4)","0.15","0.69"
"G100302254","-0.2","0.82 (0.18-3.7)","0.07","0.79"
"G56889","1","2.8 (0.54-14)","1.5","0.22"
"G55256","0.45","1.6 (0.5-4.9)","0.61","0.43"
"G11031","0.013","1 (0.43-2.4)","0","0.98"
"G29959","-0.23","0.79 (0.2-3.1)","0.11","0.74"
"G23585","0.6","1.8 (0.33-10)","0.47","0.49"
"G718","-0.25","0.78 (0.53-1.2)","1.5","0.22"
"G51637","-0.91","0.4 (0.083-2)","1.3","0.26"
"G51371","-0.01","0.99 (0.31-3.2)","0","0.99"
"G23788","0.77","2.2 (0.67-7)","1.7","0.2"
"G4697","-0.23","0.8 (0.16-4.1)","0.08","0.78"
"G51504","-0.76","0.47 (0.082-2.6)","0.75","0.39"
"G51495","0.67","2 (0.67-5.7)","1.5","0.22"
"G27173","1.1","2.9 (0.87-9.8)","3","0.082"
"G55629","0.92","2.5 (0.95-6.7)","3.4","0.064"
"G51398","0.63","1.9 (0.48-7.3)","0.84","0.36"
"G64397","0.036","1 (0.24-4.6)","0","0.96"
"G2873","0.69","2 (0.63-6.4)","1.4","0.24"
"G51646","-0.5","0.6 (0.18-2)","0.68","0.41"
"G10652","0.14","1.1 (0.48-2.7)","0.1","0.75"
"G2590","-0.66","0.52 (0.18-1.5)","1.4","0.23"
"G58533","0.03","1 (0.39-2.7)","0","0.95"
