"","beta","HR (95% CI for HR)","wald.test","p.value"
"G26152","-1.6","0.21 (0.048-0.91)","4.4","0.036"
"G23090","0.41","1.5 (0.91-2.5)","2.6","0.11"
"G534","1","2.8 (0.79-9.7)","2.5","0.11"
"G51018","-0.39","0.68 (0.36-1.3)","1.5","0.23"
"G27163","-0.0076","0.99 (0.4-2.4)","0","0.99"
"G126393","0.41","1.5 (0.59-3.9)","0.73","0.39"
"G25758","0.55","1.7 (0.77-3.9)","1.7","0.19"
"G27324","-0.075","0.93 (0.7-1.2)","0.28","0.6"
"G23138","0.25","1.3 (0.24-6.8)","0.09","0.77"
"G1954","0.79","2.2 (0.7-7)","1.8","0.18"
"G4214","0.22","1.2 (0.45-3.4)","0.18","0.68"
"G23109","-0.089","0.92 (0.22-3.9)","0.01","0.9"
"G5129","-0.52","0.59 (0.22-1.6)","1","0.31"
"G84898","-0.044","0.96 (0.58-1.6)","0.03","0.87"
"G100294145","0.35","1.4 (0.17-12)","0.11","0.74"
"G23504","-0.083","0.92 (0.15-5.7)","0.01","0.93"
"G91442","0.33","1.4 (0.57-3.4)","0.52","0.47"
"G23025","0.71","2 (0.92-4.5)","3.1","0.078"
"G23096","-0.74","0.48 (0.095-2.4)","0.82","0.37"
"G57795","0.85","2.3 (0.27-20)","0.6","0.44"
"G7754","-1.2","0.3 (0.099-0.88)","4.8","0.029"
"G728215","0.15","1.2 (0.77-1.7)","0.52","0.47"
"G145389","0.2","1.2 (0.63-2.3)","0.34","0.56"
"G8123","0.39","1.5 (0.35-6.4)","0.28","0.6"
"G375035","-0.56","0.57 (0.21-1.5)","1.2","0.26"
"G146691","0.73","2.1 (0.34-13)","0.62","0.43"
"G149111","0.49","1.6 (0.9-2.9)","2.6","0.1"
"G57538","0.37","1.5 (0.93-2.3)","2.6","0.1"
"G222658","1.2","3.3 (0.92-12)","3.4","0.067"
"G100130449","-0.42","0.66 (0.28-1.5)","0.94","0.33"
"G84444","0.41","1.5 (0.2-11)","0.16","0.69"
"G100507331","-0.98","0.37 (0.077-1.8)","1.5","0.22"
"G9271","0.49","1.6 (0.29-9.4)","0.31","0.58"
"G642778","-1.1","0.34 (0.11-1)","3.6","0.058"
"G642799","-1.1","0.34 (0.11-1)","3.6","0.058"
"G101059938","-1.1","0.34 (0.11-1)","3.6","0.058"
"G101059953","-1.1","0.34 (0.11-1)","3.6","0.058"
"G102724993","-0.68","0.51 (0.24-1.1)","3","0.084"
"G100287590","-0.17","0.84 (0.31-2.3)","0.11","0.74"
"G91355","0.091","1.1 (0.49-2.5)","0.05","0.82"
"G114791","-0.8","0.45 (0.12-1.6)","1.5","0.23"
"G54901","0.2","1.2 (0.39-3.8)","0.12","0.73"
"G7587","-0.79","0.45 (0.14-1.5)","1.7","0.19"
"G101929740","-0.79","0.45 (0.14-1.5)","1.7","0.19"
"G84148","-1.8","0.17 (0.043-0.66)","6.5","0.011"
"G25854","-0.36","0.7 (0.48-1)","3.5","0.061"
"G100996492","0.11","1.1 (0.34-3.7)","0.03","0.85"
"G163131","-0.54","0.58 (0.03-11)","0.13","0.72"
"G7554","0.74","2.1 (0.79-5.5)","2.2","0.14"
"G127833","0.081","1.1 (0.42-2.8)","0.03","0.87"
"G90273","-0.16","0.86 (0.39-1.9)","0.15","0.7"
"G9508","-0.42","0.66 (0.27-1.6)","0.86","0.36"
"G149076","1","2.8 (0.58-13)","1.7","0.2"
"G8637","-0.33","0.72 (0.36-1.4)","0.87","0.35"
"G3778","0.43","1.5 (0.6-3.9)","0.81","0.37"
"G83744","-2.7","0.067 (0.004-1.1)","3.5","0.061"
"G26050","0.21","1.2 (0.63-2.4)","0.37","0.54"
"G259307","0.33","1.4 (0.69-2.8)","0.86","0.35"
"G23143","1.3","3.6 (1.2-11)","5.2","0.023"
"G23293","0.78","2.2 (0.19-25)","0.39","0.53"
"G653316","-0.61","0.54 (0.21-1.4)","1.7","0.2"
"G101928349","-0.61","0.54 (0.21-1.4)","1.7","0.2"
"G101930363","-0.61","0.54 (0.21-1.4)","1.7","0.2"
"G54491","-0.19","0.82 (0.43-1.6)","0.35","0.56"
"G65012","-0.24","0.78 (0.16-3.8)","0.09","0.76"
"G26032","0.14","1.1 (0.76-1.7)","0.44","0.51"
"G164656","-0.11","0.9 (0.19-4.2)","0.02","0.89"
"G81569","0.58","1.8 (0.36-8.9)","0.51","0.48"
"G124044","0.51","1.7 (0.66-4.2)","1.2","0.28"
"G8497","0.33","1.4 (0.67-2.9)","0.77","0.38"
"G64595","-0.4","0.67 (0.3-1.5)","0.95","0.33"
"G200316","0.18","1.2 (0.43-3.4)","0.12","0.73"
"G286205","-0.68","0.51 (0.2-1.3)","2.1","0.15"
"G728734","-0.34","0.71 (0.27-1.8)","0.49","0.48"
"G25787","-0.25","0.78 (0.21-2.9)","0.14","0.7"
"G54550","0.031","1 (0.32-3.4)","0","0.96"
"G100499177","-0.55","0.58 (0.37-0.91)","5.7","0.017"
"G9024","-0.14","0.87 (0.14-5.5)","0.02","0.88"
"G6080","-1.2","0.29 (0.098-0.85)","5.1","0.024"
"G8420","-1.2","0.29 (0.098-0.85)","5.1","0.024"
"G92558","0.092","1.1 (0.35-3.4)","0.03","0.87"
"G54874","-0.27","0.76 (0.49-1.2)","1.4","0.24"
"G84436","-0.084","0.92 (0.26-3.2)","0.02","0.89"
"G28778","-0.15","0.86 (0.59-1.3)","0.57","0.45"
"G339524","-0.074","0.93 (0.36-2.4)","0.02","0.88"
"G79621","-1.5","0.22 (0.028-1.8)","2","0.16"
"G11042","-0.42","0.66 (0.31-1.4)","1.3","0.26"
"G653188","0.13","1.1 (0.55-2.4)","0.12","0.72"
"G25893","0.086","1.1 (0.21-5.7)","0.01","0.92"
"G140883","-0.27","0.76 (0.37-1.6)","0.53","0.47"
"G9758","-0.016","0.98 (0.14-6.8)","0","0.99"
"G160518","-0.19","0.83 (0.28-2.4)","0.12","0.72"
"G399818","-1.1","0.35 (0.077-1.6)","1.9","0.17"
"G55631","-0.42","0.66 (0.29-1.5)","1","0.31"
"G8334","-0.081","0.92 (0.63-1.4)","0.17","0.68"
"G2885","0.17","1.2 (0.33-4.3)","0.07","0.79"
"G100129518","0.0047","1 (0.62-1.6)","0","0.99"
"G23251","-1.7","0.18 (0.027-1.2)","3.1","0.078"
"G115353","0.28","1.3 (0.61-2.9)","0.51","0.48"
"G152185","-0.31","0.74 (0.26-2.1)","0.34","0.56"
"G84830","-0.15","0.86 (0.38-2)","0.12","0.73"
"G100129460","-0.45","0.64 (0.11-3.8)","0.24","0.62"
"G83714","1.1","2.9 (0.96-9)","3.6","0.058"
"G116828","0.25","1.3 (0.15-11)","0.05","0.82"
"G55001","-1.5","0.23 (0.028-1.9)","1.8","0.17"
"G149041","0.23","1.3 (0.47-3.3)","0.21","0.65"
"G8512","-0.4","0.67 (0.18-2.6)","0.33","0.56"
"G100288974","-0.4","0.67 (0.18-2.6)","0.33","0.56"
"G8848","-1.9","0.16 (0.033-0.74)","5.5","0.019"
"G23101","-3.1","0.046 (0.0012-1.8)","2.7","0.1"
"G1759","0.41","1.5 (0.85-2.7)","2","0.16"
"G5897","-5.4","0.0043 (0.00011-0.17)","8.4","0.0037"
"G162972","-1.1","0.34 (0.079-1.4)","2.1","0.14"
"G5288","0.27","1.3 (0.7-2.5)","0.74","0.39"
"G102725213","-0.63","0.53 (0.13-2.2)","0.74","0.39"
"G11340","-0.59","0.55 (0.24-1.3)","1.9","0.17"
"G25763","-0.19","0.83 (0.093-7.4)","0.03","0.87"
"G349152","-0.085","0.92 (0.34-2.5)","0.03","0.87"
"G26047","0.19","1.2 (0.7-2.1)","0.46","0.5"
"G55432","-0.78","0.46 (0.21-0.99)","4","0.046"
"G55619","-0.3","0.74 (0.38-1.5)","0.74","0.39"
"G80349","0.4","1.5 (0.34-6.5)","0.28","0.6"
"G642236","-1.1","0.32 (0.082-1.3)","2.7","0.1"
"G57172","0.37","1.4 (0.21-10)","0.14","0.71"
"G22997","0.34","1.4 (0.27-7.3)","0.17","0.68"
"G9906","0.19","1.2 (0.53-2.8)","0.21","0.65"
"G728661","0.19","1.2 (0.53-2.8)","0.21","0.65"
"G22995","-0.52","0.59 (0.04-8.8)","0.14","0.71"
"G26095","-0.16","0.85 (0.38-1.9)","0.16","0.69"
"G123872","-0.39","0.67 (0.18-2.5)","0.35","0.56"
"G388714","-0.98","0.38 (0.041-3.5)","0.75","0.39"
"G100506190","-0.37","0.69 (0.22-2.1)","0.41","0.52"
"G55338","0.97","2.6 (0.13-53)","0.41","0.52"
"G3892","0.27","1.3 (0.67-2.5)","0.6","0.44"
"G100509764","0.27","1.3 (0.67-2.5)","0.6","0.44"
"G5382","-0.88","0.42 (0.02-8.7)","0.32","0.57"
"G3125","-0.29","0.75 (0.5-1.1)","2","0.16"
"G85021","0.76","2.1 (0.48-9.5)","0.99","0.32"
"G11049","0.11","1.1 (0.44-2.8)","0.05","0.82"
"G116150","0.038","1 (0.51-2.1)","0.01","0.92"
"G1743","0.6","1.8 (0.56-5.9)","1","0.32"
"G730092","0.1","1.1 (0.29-4.3)","0.02","0.88"
"G53371","-0.66","0.51 (0.11-2.4)","0.71","0.4"
"G100129973","0.16","1.2 (0.22-6.1)","0.04","0.85"
"G51422","-1.9","0.15 (0.027-0.78)","5.1","0.024"
"G63982","-0.66","0.52 (0.15-1.8)","1","0.3"
"G100288570","-0.55","0.58 (0.22-1.5)","1.2","0.27"
"G55831","-0.33","0.72 (0.26-2)","0.39","0.53"
"G7789","-0.66","0.52 (0.11-2.4)","0.7","0.4"
"G158586","-0.083","0.92 (0.13-6.6)","0.01","0.93"
"G2016","0.54","1.7 (0.23-13)","0.28","0.6"
"G6543","-1.1","0.32 (0.058-1.7)","1.8","0.19"
"G643314","1.1","2.9 (0.99-8.6)","3.8","0.051"
"G3955","0.23","1.3 (0.61-2.6)","0.38","0.54"
"G63923","-0.2","0.82 (0.24-2.8)","0.1","0.75"
"G339290","-1.2","0.31 (0.11-0.93)","4.4","0.036"
"G7221","-0.2","0.82 (0.14-4.7)","0.05","0.82"
"G388567","-0.13","0.88 (0.045-17)","0.01","0.93"
"G27315","0.05","1.1 (0.32-3.4)","0.01","0.93"
"G441204","-0.056","0.95 (0.16-5.5)","0","0.95"
"G257152","-0.5","0.61 (0.17-2.2)","0.58","0.45"
"G57711","0.73","2.1 (0.43-9.9)","0.84","0.36"
"G256051","0.36","1.4 (0.062-33)","0.05","0.82"
"G100462953","0.38","1.5 (0.82-2.6)","1.7","0.19"
"G645961","0.87","2.4 (0.098-58)","0.28","0.59"
"G154661","-0.051","0.95 (0.5-1.8)","0.02","0.87"
"G91694","-0.33","0.72 (0.27-1.9)","0.43","0.51"
"G338645","0.26","1.3 (0.21-8.2)","0.08","0.78"
"G223117","0.44","1.5 (0.68-3.5)","1.1","0.3"
"G22979","1.1","3 (0.65-14)","2","0.16"
"G22989","0.21","1.2 (0.23-6.7)","0.06","0.8"
"G440193","-0.11","0.89 (0.31-2.6)","0.04","0.84"
"G643376","0.42","1.5 (0.8-2.9)","1.6","0.2"
"G55340","0.21","1.2 (0.55-2.7)","0.26","0.61"
"G100527949","0.21","1.2 (0.55-2.7)","0.26","0.61"
"G27043","0.17","1.2 (0.42-3.3)","0.1","0.75"
"G91646","-0.094","0.91 (0.51-1.6)","0.1","0.75"
"G100129482","-1.6","0.2 (0.019-2)","1.9","0.17"
"G57710","1.2","3.2 (0.54-19)","1.6","0.2"
"G9442","0.79","2.2 (0.74-6.5)","2","0.16"
"G79017","-0.4","0.67 (0.41-1.1)","2.4","0.13"
"G51324","1.4","4.1 (0.72-24)","2.5","0.11"
"G3078","-0.092","0.91 (0.62-1.3)","0.22","0.64"
"G154754","0.27","1.3 (0.91-1.9)","2.1","0.15"
"G84059","-0.93","0.4 (0.11-1.5)","2","0.16"
"G729453","0.041","1 (0.14-8)","0","0.97"
"G729299","0.53","1.7 (0.65-4.4)","1.2","0.28"
"G30968","-0.19","0.83 (0.38-1.8)","0.23","0.63"
"G23233","0.38","1.5 (0.34-6.4)","0.26","0.61"
"G23217","-0.44","0.64 (0.21-2)","0.6","0.44"
"G3549","-0.63","0.53 (0.11-2.5)","0.63","0.43"
"G100131510","0.19","1.2 (0.23-6.2)","0.05","0.82"
"G2712","1.2","3.3 (0.37-30)","1.1","0.29"
"G116285","-0.37","0.69 (0.089-5.4)","0.13","0.72"
"G56271","-0.28","0.76 (0.53-1.1)","2.2","0.13"
"G222642","-0.063","0.94 (0.26-3.4)","0.01","0.92"
"G387082","0.093","1.1 (0.27-4.5)","0.02","0.9"
"G148066","-0.76","0.47 (0.075-2.9)","0.66","0.42"
"G26648","-0.63","0.54 (0.06-4.8)","0.31","0.58"
"G26154","-0.91","0.4 (0.13-1.3)","2.4","0.12"
"G647070","0.83","2.3 (0.49-11)","1.1","0.29"
"G653238","-0.16","0.85 (0.44-1.6)","0.23","0.63"
"G57242","-0.6","0.55 (0.13-2.4)","0.65","0.42"
"G221823","0.62","1.9 (0.12-30)","0.19","0.66"
"G728882","-1.2","0.31 (0.019-4.9)","0.69","0.41"
"G100132948","-1.2","0.3 (0.039-2.3)","1.4","0.24"
"G100133121","-1.2","0.3 (0.039-2.3)","1.4","0.24"
"G23038","-0.31","0.74 (0.17-3.2)","0.17","0.68"
"G11221","0.29","1.3 (0.8-2.2)","1.2","0.26"
"G10816","1.6","5.1 (0.7-37)","2.6","0.11"
"G100505494","0.8","2.2 (0.95-5.2)","3.4","0.065"
"G9077","-0.27","0.77 (0.52-1.1)","1.8","0.18"
"G2116","-0.00042","1 (0.28-3.6)","0","1"
"G57061","0.61","1.8 (1-3.3)","4.5","0.034"
"G22798","0.71","2 (0.042-98)","0.13","0.72"
"G26108","-2.5","0.08 (0.0035-1.9)","2.5","0.12"
"G22986","-0.51","0.6 (0.085-4.3)","0.26","0.61"
"G202559","0.32","1.4 (0.49-3.9)","0.37","0.54"
"G57615","0.7","2 (0.18-22)","0.33","0.57"
"G10554","0.51","1.7 (0.66-4.2)","1.2","0.28"
"G3120","-0.23","0.79 (0.6-1)","2.8","0.091"
"G23256","-0.056","0.95 (0.51-1.7)","0.03","0.86"
"G54516","-0.11","0.89 (0.13-6.1)","0.01","0.91"
"G101929272","-0.21","0.81 (0.54-1.2)","1.1","0.3"
"G389524","-0.15","0.86 (0.19-4)","0.04","0.85"
"G284323","-0.55","0.58 (0.082-4.1)","0.3","0.58"
"G100128640","-0.28","0.76 (0.16-3.5)","0.13","0.72"
"G100616497","-0.37","0.69 (0.27-1.8)","0.57","0.45"
"G26046","-0.14","0.87 (0.37-2)","0.1","0.75"
"G100049076","0.35","1.4 (0.86-2.4)","1.8","0.17"
"G2679","-0.78","0.46 (0.24-0.89)","5.4","0.021"
"G100132705","-0.78","0.46 (0.24-0.89)","5.4","0.021"
"G102724197","-0.78","0.46 (0.24-0.89)","5.4","0.021"
"G26010","0.69","2 (0.75-5.3)","1.9","0.17"
"G51533","0.2","1.2 (0.14-11)","0.03","0.86"
"G7249","-0.1","0.9 (0.35-2.3)","0.05","0.83"
"G101926913","-0.94","0.39 (0.043-3.5)","0.7","0.4"
"G79469","0.019","1 (0.6-1.7)","0","0.95"
"G25855","0.2","1.2 (0.4-3.7)","0.12","0.73"
"G63973","-3.2","0.039 (0.0021-0.73)","4.7","0.03"
"G100289255","0.44","1.6 (0.43-5.6)","0.46","0.5"
"G55876","-0.64","0.53 (0.2-1.4)","1.7","0.19"
"G2044","-0.25","0.78 (0.22-2.8)","0.15","0.7"
"G5364","0.68","2 (0.41-9.5)","0.71","0.4"
"G440792","0.25","1.3 (0.23-7.1)","0.08","0.78"
"G85368","0.28","1.3 (0.17-10)","0.07","0.79"
"G84164","-0.94","0.39 (0.16-0.93)","4.5","0.034"
"G6462","0.58","1.8 (0.38-8.3)","0.54","0.46"
"G55661","-0.33","0.72 (0.2-2.6)","0.26","0.61"
"G79029","0.96","2.6 (0.75-9.1)","2.3","0.13"
"G9919","0.76","2.1 (0.64-7.2)","1.5","0.22"
"G2312","-0.13","0.88 (0.18-4.3)","0.03","0.87"
"G3483","-0.34","0.71 (0.14-3.5)","0.17","0.68"
"G23469","-0.75","0.47 (0.19-1.2)","2.6","0.11"
"G100293211","-0.067","0.93 (0.56-1.6)","0.06","0.8"
"G25786","0.68","2 (0.46-8.4)","0.83","0.36"
"G113878","-0.2","0.82 (0.37-1.8)","0.25","0.61"
"G102725292","-0.2","0.82 (0.37-1.8)","0.25","0.61"
"G27012","2.3","9.9 (1.4-69)","5.3","0.021"
"G100861554","0.39","1.5 (0.26-8.3)","0.19","0.66"
"G100130741","0.92","2.5 (0.59-11)","1.6","0.21"
"G26993","1.5","4.4 (0.75-26)","2.7","0.1"
"G64689","-1.1","0.32 (0.057-1.8)","1.6","0.2"
"G64062","-1.7","0.19 (0.042-0.88)","4.5","0.033"
"G730227","-0.37","0.69 (0.13-3.6)","0.19","0.66"
"G79998","0.27","1.3 (0.12-14)","0.05","0.82"
"G91752","-0.52","0.59 (0.058-6.1)","0.19","0.66"
"G8587","-2.6","0.078 (0.0023-2.6)","2","0.16"
"G3645","2.3","9.8 (1.2-79)","4.6","0.032"
"G55547","0.84","2.3 (0.47-11)","1.1","0.3"
"G642869","0.49","1.6 (0.57-4.7)","0.84","0.36"
"G282808","0.11","1.1 (0.15-8.4)","0.01","0.92"
"G26999","-0.25","0.78 (0.47-1.3)","0.97","0.32"
"G85452","0.52","1.7 (0.19-15)","0.22","0.64"
"G9108","1.6","4.8 (0.7-33)","2.6","0.11"
"G57644","1.4","4 (0.52-31)","1.8","0.18"
"G28683","0.84","2.3 (0.2-28)","0.45","0.5"
"G55086","-0.86","0.42 (0.062-2.9)","0.78","0.38"
"G386757","0.15","1.2 (0.48-2.8)","0.12","0.73"
"G653562","0.061","1.1 (0.75-1.5)","0.12","0.73"
"G283927","-1.2","0.31 (0.1-0.95)","4.2","0.041"
"G6006","-0.47","0.63 (0.23-1.7)","0.79","0.37"
"G51132","-0.53","0.59 (0.23-1.5)","1.2","0.27"
"G90485","-0.37","0.69 (0.22-2.2)","0.4","0.53"
"G114819","-0.0034","1 (0.045-22)","0","1"
"G146754","-0.51","0.6 (0.24-1.5)","1.2","0.27"
"G2979","-0.033","0.97 (0.17-5.4)","0","0.97"
"G283755","-0.17","0.84 (0.28-2.5)","0.1","0.76"
"G101930458","-0.17","0.84 (0.28-2.5)","0.1","0.76"
"G118491","-2.4","0.094 (0.012-0.74)","5","0.025"
"G284266","0.58","1.8 (1.1-2.9)","5.7","0.017"
"G56926","0.45","1.6 (0.32-7.8)","0.3","0.58"
"G91683","-0.17","0.84 (0.33-2.2)","0.13","0.72"
"G101927770","1.7","5.6 (0.79-40)","3","0.085"
"G29978","0.34","1.4 (0.53-3.7)","0.48","0.49"
"G126070","0.59","1.8 (0.58-5.6)","1","0.3"
"G5729","0.79","2.2 (0.71-6.9)","1.9","0.17"
"G9410","-0.27","0.76 (0.29-2)","0.32","0.57"
"G243469","0.29","1.3 (0.63-2.8)","0.57","0.45"
"G642636","-3.4","0.033 (0.00039-2.8)","2.3","0.13"
"G283970","-0.28","0.76 (0.27-2.1)","0.28","0.6"
"G440348","0.36","1.4 (0.5-4.1)","0.44","0.51"
"G728741","-0.73","0.48 (0.17-1.4)","1.9","0.17"
"G971","0.27","1.3 (0.84-2.1)","1.4","0.23"
"G10564","-0.8","0.45 (0.13-1.5)","1.6","0.2"
"G100507605","-2.5","0.084 (0.0012-6)","1.3","0.26"
"G51438","0.25","1.3 (0.62-2.7)","0.44","0.5"
"G26165","0.064","1.1 (0.11-11)","0","0.96"
"G389730","0.064","1.1 (0.11-11)","0","0.96"
"G647060","0.064","1.1 (0.11-11)","0","0.96"
"G727830","0.064","1.1 (0.11-11)","0","0.96"
"G727905","0.064","1.1 (0.11-11)","0","0.96"
"G101927498","-1.9","0.14 (0.001-21)","0.58","0.45"
"G85375","-0.41","0.66 (0.052-8.4)","0.1","0.75"
"G91353","-0.18","0.83 (0.46-1.5)","0.36","0.55"
"G84908","-0.41","0.66 (0.2-2.2)","0.46","0.5"
"G100287852","-0.41","0.66 (0.2-2.2)","0.46","0.5"
"G284649","-1.7","0.19 (0.0092-4)","1.1","0.29"
"G6527","0.046","1 (0.14-7.8)","0","0.96"
"G2713","-0.23","0.8 (0.4-1.6)","0.43","0.51"
"G100130331","0.013","1 (0.13-7.8)","0","0.99"
"G80868","-0.49","0.61 (0.13-2.9)","0.37","0.54"
"G170960","-0.2","0.82 (0.35-1.9)","0.21","0.65"
"G3508","0.73","2.1 (0.45-9.6)","0.88","0.35"
"G100505534","1.3","3.7 (0.29-46)","1","0.31"
"G7993","-0.31","0.73 (0.4-1.3)","1","0.31"
"G80862","-1","0.36 (0.0086-15)","0.28","0.6"
"G100507399","-2.1","0.12 (0.0053-2.7)","1.8","0.18"
"G84733","0.12","1.1 (0.41-3.1)","0.05","0.82"
"G390999","1.1","3 (0.56-16)","1.6","0.2"
"G55334","1.3","3.5 (0.55-23)","1.8","0.18"
"G5426","0.022","1 (0.38-2.8)","0","0.97"
"G6407","-1.3","0.26 (0.0083-8.3)","0.57","0.45"
"G129025","-1.9","0.14 (0.017-1.2)","3.3","0.071"
"G284800","-0.34","0.71 (0.068-7.5)","0.08","0.78"
"G1557","2.3","9.7 (1.2-80)","4.4","0.035"
"G3044","0.024","1 (0.12-8.8)","0","0.98"
"G390616","0.65","1.9 (0.14-26)","0.23","0.63"
"G389715","-0.21","0.81 (0.035-19)","0.02","0.9"
"G26105","-2","0.13 (0.014-1.2)","3.2","0.073"
"G84033","-0.61","0.54 (0.084-3.5)","0.41","0.52"
"G93164","-0.46","0.63 (0.054-7.5)","0.13","0.72"
"G145678","0.68","2 (0.11-36)","0.21","0.64"
"G100129503","1.1","2.9 (0.58-14)","1.7","0.19"
"G51517","0.36","1.4 (0.25-8.3)","0.16","0.69"
"G102724368","0.91","2.5 (0.22-28)","0.54","0.46"
"G25876","-0.075","0.93 (0.33-2.6)","0.02","0.89"
"G101929597","-0.78","0.46 (0.082-2.6)","0.79","0.37"
"G147172","0.88","2.4 (0.25-23)","0.57","0.45"
"G55206","-0.11","0.9 (0.15-5.3)","0.01","0.9"
"G387535","1.4","4.2 (1.3-14)","5.5","0.019"
"G28516","-0.3","0.74 (0.23-2.4)","0.25","0.62"
"G400084","-0.05","0.95 (0.16-5.6)","0","0.96"
"G1370","0.88","2.4 (0.2-30)","0.47","0.49"
"G6875","-0.66","0.52 (0.19-1.4)","1.7","0.2"
"G144195","0.27","1.3 (0.85-2)","1.5","0.22"
"G84820","0.6","1.8 (0.66-5)","1.3","0.25"
"G9404","0.61","1.8 (0.74-4.6)","1.7","0.19"
"G2918","1.8","6.3 (0.88-46)","3.4","0.066"
"G100506699","-0.0051","0.99 (0.48-2.1)","0","0.99"
"G60436","0.052","1.1 (0.47-2.3)","0.02","0.9"
"G3913","0.041","1 (0.51-2.1)","0.01","0.91"
"G11070","0.68","2 (0.58-6.7)","1.2","0.28"
"G10794","5.4","230 (4.8-11000)","7.6","0.0058"
"G1587","-2.4","0.094 (0.0032-2.8)","1.9","0.17"
"G10800","-0.42","0.65 (0.33-1.3)","1.4","0.23"
"G347088","0.54","1.7 (0.32-9)","0.4","0.53"
"G7517","0.73","2.1 (0.47-9.2)","0.93","0.33"
"G343069","0.7","2 (0.62-6.5)","1.4","0.24"
"G440563","0.7","2 (0.62-6.5)","1.4","0.24"
"G649330","0.7","2 (0.62-6.5)","1.4","0.24"
"G101060301","0.7","2 (0.62-6.5)","1.4","0.24"
"G57551","0.65","1.9 (0.58-6.3)","1.2","0.28"
"G728361","0.069","1.1 (0.32-3.6)","0.01","0.91"
"G54661","0.34","1.4 (0.11-18)","0.07","0.79"
"G8841","-0.12","0.89 (0.26-3.1)","0.04","0.85"
"G1550","0.55","1.7 (0.068-44)","0.11","0.74"
"G25844","0.53","1.7 (0.68-4.2)","1.3","0.25"
"G266629","0.026","1 (0.21-5)","0","0.97"
"G23368","-0.37","0.69 (0.37-1.3)","1.4","0.25"
"G7556","-0.28","0.75 (0.079-7.2)","0.06","0.81"
"G4589","-1.2","0.3 (0.014-6.3)","0.6","0.44"
"G202018","-1.7","0.19 (0.042-0.87)","4.6","0.032"
"G220077","-0.43","0.65 (0.074-5.7)","0.15","0.7"
"G57626","1.8","6.2 (0.28-130)","1.3","0.25"
"G26148","2.4","11 (1.1-120)","4.2","0.042"
"G100510710","-0.32","0.73 (0.14-3.9)","0.14","0.71"
"G284904","-1.1","0.33 (0.13-0.84)","5.4","0.02"
"G160824","0.15","1.2 (0.4-3.3)","0.08","0.78"
"G6315","0.42","1.5 (0.16-14)","0.14","0.71"
"G55697","1.3","3.8 (0.7-20)","2.4","0.12"
"G81697","-0.42","0.65 (0.058-7.3)","0.12","0.73"
"G3219","0.38","1.5 (0.56-3.8)","0.62","0.43"
"G90011","0.17","1.2 (0.18-7.8)","0.03","0.86"
"G55020","-0.23","0.79 (0.11-6)","0.05","0.82"
"G7114","-0.61","0.54 (0.12-2.4)","0.64","0.42"
"G57336","0.26","1.3 (0.085-20)","0.03","0.85"
"G130814","-0.45","0.64 (0.18-2.3)","0.48","0.49"
"G414771","3.9","48 (3.9-580)","9.2","0.0024"
"G101927181","-0.26","0.77 (0.18-3.2)","0.13","0.72"
"G91120","-0.47","0.63 (0.25-1.6)","1","0.32"
"G102725136","0.13","1.1 (0.034-38)","0.01","0.94"
"G80852","0.17","1.2 (0.36-3.9)","0.08","0.78"
"G56005","-0.072","0.93 (0.37-2.4)","0.02","0.88"
"G101927086","1.9","7 (1.1-43)","4.4","0.036"
"G102723620","1.2","3.4 (0.76-15)","2.6","0.11"
"G79184","-0.97","0.38 (0.18-0.81)","6.4","0.012"
"G26212","-0.16","0.85 (0.064-11)","0.01","0.9"
"G404281","0.12","1.1 (0.14-9.4)","0.01","0.91"
"G26651","0.51","1.7 (0.19-14)","0.22","0.64"
"G92552","-0.76","0.47 (0.027-8.1)","0.27","0.6"
"G100093698","0.15","1.2 (0.088-15)","0.01","0.91"
"G128872","0.25","1.3 (0.89-1.9)","1.8","0.18"
"G55633","0.43","1.5 (0.45-5.3)","0.47","0.49"
"G3809","0.23","1.3 (0.13-12)","0.04","0.84"
"G102724905","0.0046","1 (0.13-7.7)","0","1"
"G2300","0.83","2.3 (0.68-7.7)","1.8","0.18"
"G729020","-0.2","0.82 (0.35-1.9)","0.22","0.64"
"G127534","0.43","1.5 (0.3-7.9)","0.26","0.61"
"G94026","0.4","1.5 (0.2-11)","0.15","0.7"
"G8325","0.58","1.8 (1.1-3.1)","4.6","0.031"
"G100616500","0.58","1.8 (1.1-3.1)","4.6","0.031"
"G346562","1.1","3.1 (0.13-71)","0.5","0.48"
"G139081","-0.87","0.42 (0.027-6.4)","0.39","0.53"
"G6347","0.12","1.1 (0.76-1.7)","0.34","0.56"
"G90586","0.21","1.2 (0.22-6.9)","0.06","0.81"
"G26102","0.25","1.3 (0.18-9.3)","0.06","0.8"
"G3359","0.099","1.1 (0.65-1.9)","0.13","0.71"
"G4099","1.6","5 (0.44-57)","1.7","0.19"
"G85865","-2","0.13 (0.01-1.7)","2.4","0.12"
"G101927446","-1.5","0.22 (0.033-1.5)","2.4","0.12"
"G79075","0.044","1 (0.35-3.1)","0.01","0.94"
"G1720","1.6","5.1 (0.16-160)","0.86","0.35"
"G4648","0.88","2.4 (0.18-32)","0.45","0.5"
"G101929148","-0.98","0.38 (0.0064-22)","0.22","0.64"
"G93432","2","7.3 (0.62-86)","2.5","0.11"
"G643332","1.2","3.3 (0.6-18)","1.9","0.17"
"G100129528","0.67","1.9 (0.39-9.8)","0.66","0.42"
"G50858","2","7.4 (1-55)","3.8","0.05"
