"","beta","HR (95% CI for HR)","wald.test","p.value"
"G7056","0.18","1.2 (0.86-1.7)","1.2","0.28"
"G79745","0.092","1.1 (0.69-1.7)","0.15","0.7"
"G54878","0.89","2.4 (0.57-10)","1.4","0.23"
"G6653","-0.054","0.95 (0.66-1.4)","0.09","0.77"
"G283254","-0.15","0.86 (0.5-1.5)","0.29","0.59"
"G646653","-0.17","0.84 (0.46-1.5)","0.32","0.57"
"G27156","0.088","1.1 (0.81-1.5)","0.34","0.56"
"G643509","0.17","1.2 (0.54-2.6)","0.19","0.66"
"G652681","-0.45","0.64 (0.31-1.3)","1.5","0.21"
"G646926","-0.19","0.83 (0.28-2.5)","0.11","0.74"
"G6726","0.3","1.3 (0.86-2.1)","1.7","0.2"
"G503542","-0.17","0.84 (0.28-2.5)","0.09","0.76"
"G5104","0.13","1.1 (0.95-1.3)","2","0.16"
"G642587","0.096","1.1 (0.39-3.1)","0.03","0.86"
"G10552","-0.11","0.9 (0.44-1.8)","0.09","0.77"
"G83992","0.13","1.1 (0.62-2.1)","0.17","0.68"
"G245802","0.048","1 (0.53-2.1)","0.02","0.89"
"G286140","-0.055","0.95 (0.64-1.4)","0.08","0.78"
"G5686","0.049","1.1 (0.63-1.7)","0.04","0.85"
"G5757","-0.00028","1 (0.76-1.3)","0","1"
"G29895","0.2","1.2 (0.57-2.6)","0.26","0.61"
"G4698","-0.085","0.92 (0.54-1.6)","0.1","0.75"
"G1810","0.02","1 (0.77-1.4)","0.02","0.89"
"G9394","-0.3","0.74 (0.4-1.4)","0.94","0.33"
"G400696","-0.32","0.73 (0.3-1.7)","0.5","0.48"
"G79159","-0.15","0.86 (0.46-1.6)","0.23","0.63"
"G170622","0.32","1.4 (0.61-3.1)","0.61","0.43"
"G389524","-0.061","0.94 (0.38-2.3)","0.02","0.9"
"G648370","-0.53","0.59 (0.27-1.3)","1.8","0.18"
"G7454","-0.15","0.86 (0.65-1.2)","0.98","0.32"
"G3228","0.51","1.7 (0.78-3.5)","1.7","0.19"
"G643203","-0.67","0.51 (0.2-1.3)","2","0.15"
"G53938","-0.33","0.72 (0.25-2.1)","0.36","0.55"
"G25806","0.17","1.2 (0.72-2)","0.44","0.5"
"G26297","-0.19","0.83 (0.48-1.4)","0.49","0.48"
"G10561","-0.043","0.96 (0.67-1.4)","0.06","0.81"
"G127077","0.14","1.2 (0.58-2.3)","0.16","0.69"
"G1811","-0.15","0.86 (0.38-2)","0.12","0.73"
"G887","0.038","1 (0.68-1.6)","0.03","0.86"
"G645018","-0.34","0.71 (0.45-1.1)","2.2","0.13"
"G162972","-0.046","0.95 (0.56-1.6)","0.03","0.86"
"G56287","0.79","2.2 (1.3-3.6)","10","0.0016"
"G114836","-0.14","0.87 (0.67-1.1)","1.2","0.28"
"G342909","-0.0058","0.99 (0.28-3.5)","0","0.99"
"G64121","-0.072","0.93 (0.48-1.8)","0.04","0.83"
"G440607","0.2","1.2 (0.42-3.5)","0.13","0.71"
"G340549","-0.22","0.8 (0.45-1.4)","0.54","0.46"
"G11047","-0.21","0.81 (0.43-1.5)","0.4","0.53"
"G140628","-0.032","0.97 (0.67-1.4)","0.03","0.86"
"G6804","0.014","1 (0.78-1.3)","0.01","0.92"
"G56922","-0.18","0.84 (0.47-1.5)","0.34","0.56"
"G11043","0.097","1.1 (0.55-2.2)","0.07","0.79"
"G793","-0.28","0.76 (0.38-1.5)","0.64","0.42"
"G1786","0.088","1.1 (0.64-1.9)","0.1","0.75"
"G78997","0.2","1.2 (0.66-2.2)","0.39","0.53"
"G54778","0.13","1.1 (0.73-1.8)","0.35","0.56"
"G131616","-1.2","0.3 (0.14-0.65)","9.3","0.0023"
"G8927","-0.1","0.9 (0.63-1.3)","0.31","0.58"
"G970","-0.28","0.76 (0.54-1.1)","2.7","0.1"
"G55696","-0.98","0.38 (0.12-1.2)","2.6","0.11"
"G29107","-0.17","0.85 (0.43-1.7)","0.22","0.64"
"G399669","0.17","1.2 (0.58-2.4)","0.22","0.64"
"G390433","-0.72","0.49 (0.16-1.5)","1.6","0.21"
"G147687","0.15","1.2 (0.76-1.8)","0.48","0.49"
"G57666","-0.062","0.94 (0.67-1.3)","0.13","0.72"
"G83987","0.17","1.2 (0.87-1.6)","1.2","0.28"
"G220001","-0.036","0.96 (0.65-1.4)","0.03","0.86"
"G2782","0.23","1.3 (0.51-3.1)","0.25","0.62"
"G9487","-0.049","0.95 (0.66-1.4)","0.07","0.8"
"G644705","-0.35","0.71 (0.31-1.6)","0.65","0.42"
"G113622","-0.35","0.71 (0.39-1.3)","1.3","0.25"
"G643357","0.074","1.1 (0.8-1.5)","0.23","0.63"
"G342132","0.32","1.4 (0.71-2.6)","0.88","0.35"
"G5552","-0.13","0.88 (0.68-1.1)","1","0.31"
"G151477","-0.59","0.55 (0.18-1.7)","1.1","0.3"
"G26046","-0.18","0.84 (0.37-1.9)","0.18","0.67"
"G58511","-0.14","0.87 (0.48-1.6)","0.21","0.65"
"G2658","0.19","1.2 (0.52-2.8)","0.19","0.66"
"G81629","-0.22","0.8 (0.53-1.2)","1.1","0.29"
"G925","-0.07","0.93 (0.73-1.2)","0.32","0.57"
"G80185","-0.065","0.94 (0.51-1.7)","0.05","0.83"
"G27146","0.18","1.2 (0.78-1.8)","0.67","0.41"
"G387914","0.021","1 (0.85-1.2)","0.05","0.82"
"G13","-0.021","0.98 (0.8-1.2)","0.04","0.83"
"G2569","-0.24","0.79 (0.49-1.3)","0.93","0.33"
"G389936","-0.21","0.81 (0.31-2.1)","0.19","0.66"
"G64969","-0.11","0.9 (0.42-1.9)","0.08","0.78"
"G11154","0.5","1.6 (0.93-2.9)","3","0.084"
"G448831","0.56","1.8 (0.54-5.7)","0.86","0.35"
"G4342","-0.42","0.65 (0.29-1.5)","1.1","0.3"
"G90","0.37","1.5 (0.82-2.6)","1.6","0.2"
"G55679","0.11","1.1 (0.81-1.5)","0.41","0.52"
"G79740","0.059","1.1 (0.82-1.4)","0.2","0.66"
"G8320","-0.19","0.82 (0.64-1.1)","2.3","0.13"
"G84332","0.26","1.3 (0.88-1.9)","1.8","0.18"
"G390082","0.38","1.5 (0.58-3.7)","0.64","0.42"
"G1586","0.16","1.2 (0.58-2.4)","0.2","0.65"
"G7916","-0.19","0.83 (0.52-1.3)","0.61","0.43"
"G653282","-0.16","0.85 (0.44-1.7)","0.23","0.63"
"G10742","0.33","1.4 (0.91-2.1)","2.3","0.13"
"G7803","0.2","1.2 (0.87-1.7)","1.3","0.25"
"G650687","-0.29","0.75 (0.32-1.7)","0.46","0.5"
"G1407","0.35","1.4 (0.84-2.4)","1.7","0.19"
"G642675","0.2","1.2 (0.49-3)","0.17","0.68"
"G654116","-0.088","0.92 (0.43-1.9)","0.05","0.82"
"G11161","0.3","1.4 (0.77-2.4)","1.1","0.29"
"G57560","0.39","1.5 (0.48-4.6)","0.47","0.49"
"G55161","0.21","1.2 (0.76-2)","0.73","0.39"
"G55684","-0.084","0.92 (0.53-1.6)","0.09","0.77"
"G653476","-0.26","0.77 (0.38-1.5)","0.55","0.46"
"G84265","-0.56","0.57 (0.29-1.1)","2.6","0.11"
"G10933","0.38","1.5 (0.75-2.8)","1.3","0.26"
"G8683","-0.051","0.95 (0.6-1.5)","0.05","0.83"
"G201191","0.22","1.2 (0.82-1.9)","1","0.31"
"G79983","-0.33","0.72 (0.39-1.3)","1.1","0.29"
"G1415","0.061","1.1 (0.82-1.4)","0.21","0.64"
"G6188","-0.23","0.79 (0.48-1.3)","0.79","0.37"
"G83637","0.15","1.2 (0.7-1.9)","0.31","0.58"
"G283","-0.12","0.88 (0.66-1.2)","0.67","0.41"
"G84063","-0.59","0.55 (0.15-2.1)","0.76","0.38"
"G259286","0.6","1.8 (0.95-3.5)","3.2","0.073"
"G389105","0.38","1.5 (0.55-3.9)","0.57","0.45"
"G4704","0.14","1.1 (0.55-2.4)","0.14","0.71"
"G83990","0.016","1 (0.51-2)","0","0.96"
"G2022","0.14","1.1 (0.76-1.7)","0.43","0.51"
"G652881","0.18","1.2 (0.76-1.9)","0.57","0.45"
"G6262","0.34","1.4 (0.99-2)","3.6","0.059"
"G650843","-0.92","0.4 (0.16-1)","3.7","0.054"
"G81831","-0.082","0.92 (0.7-1.2)","0.36","0.55"
"G4952","-0.2","0.82 (0.45-1.5)","0.4","0.53"
"G4218","-0.092","0.91 (0.55-1.5)","0.13","0.72"
"G23732","-0.5","0.61 (0.26-1.4)","1.4","0.24"
"G79800","0.086","1.1 (0.68-1.8)","0.13","0.72"
"G57190","-0.17","0.85 (0.46-1.5)","0.3","0.59"
"G9965","-0.2","0.82 (0.56-1.2)","1.1","0.3"
"G9815","0.0029","1 (0.55-1.8)","0","0.99"
"G651630","-0.74","0.48 (0.22-1)","3.7","0.055"
"G9963","0.68","2 (1-3.9)","3.9","0.049"
"G8562","0.064","1.1 (0.53-2.1)","0.03","0.86"
"G200159","-0.17","0.84 (0.27-2.6)","0.09","0.77"
"G651565","-0.094","0.91 (0.45-1.8)","0.07","0.79"
"G649181","-0.83","0.44 (0.2-0.94)","4.5","0.034"
"G148738","0.79","2.2 (0.46-11)","0.97","0.33"
"G6457","0.068","1.1 (0.83-1.4)","0.28","0.6"
"G650029","-0.2","0.82 (0.27-2.5)","0.13","0.72"
"G349152","-0.12","0.89 (0.43-1.8)","0.11","0.74"
"G340485","0.53","1.7 (0.77-3.8)","1.7","0.19"
"G5096","-0.27","0.77 (0.46-1.3)","1.1","0.3"
"G84654","0.0054","1 (0.45-2.3)","0","0.99"
"G138639","-0.35","0.71 (0.23-2.2)","0.37","0.54"
"G390162","1.1","2.9 (1.2-7.3)","5.2","0.023"
"G54584","0.15","1.2 (0.83-1.6)","0.77","0.38"
"G192669","-0.56","0.57 (0.31-1.1)","3.1","0.078"
"G84129","0.19","1.2 (0.75-2)","0.62","0.43"
"G5081","0.049","1.1 (0.52-2.1)","0.02","0.89"
"G375260","-0.19","0.83 (0.52-1.3)","0.68","0.41"
"G7405","0.11","1.1 (0.7-1.8)","0.22","0.64"
"G653631","0.074","1.1 (0.77-1.5)","0.18","0.67"
"G220988","0.027","1 (0.76-1.4)","0.03","0.86"
"G252995","0.068","1.1 (0.86-1.3)","0.37","0.54"
"G51542","-0.15","0.86 (0.48-1.6)","0.24","0.62"
"G27087","-0.27","0.77 (0.41-1.4)","0.69","0.41"
"G153733","0.25","1.3 (0.8-2)","1","0.31"
"G64840","0.32","1.4 (0.73-2.6)","0.99","0.32"
"G29889","0.032","1 (0.54-2)","0.01","0.92"
"G284827","-0.2","0.82 (0.35-1.9)","0.2","0.65"
"G643425","-0.058","0.94 (0.76-1.2)","0.29","0.59"
"G286257","0.045","1 (0.65-1.7)","0.03","0.85"
"G2553","-0.0069","0.99 (0.46-2.1)","0","0.99"
"G26986","0.028","1 (0.55-1.9)","0.01","0.93"
"G23344","0.22","1.2 (0.64-2.5)","0.42","0.52"
"G648608","0.15","1.2 (0.61-2.2)","0.2","0.65"
"G9953","-0.43","0.65 (0.26-1.6)","0.89","0.35"
"G6199","-0.05","0.95 (0.45-2)","0.02","0.89"
"G79707","-0.3","0.74 (0.5-1.1)","2.3","0.13"
"G11309","-0.06","0.94 (0.71-1.2)","0.18","0.67"
"G649103","0.46","1.6 (0.59-4.2)","0.83","0.36"
"G54873","0.04","1 (0.61-1.8)","0.02","0.88"
"G150684","-0.05","0.95 (0.37-2.4)","0.01","0.92"
"G8544","0.0047","1 (0.78-1.3)","0","0.97"
"G22837","-0.15","0.86 (0.55-1.4)","0.43","0.51"
"G4351","-0.11","0.89 (0.6-1.3)","0.33","0.57"
"G353500","0.22","1.3 (0.5-3.1)","0.23","0.63"
"G650779","0.46","1.6 (0.74-3.4)","1.4","0.24"
"G2528","0.052","1.1 (0.65-1.7)","0.05","0.83"
"G5143","-0.098","0.91 (0.56-1.5)","0.16","0.69"
"G128344","0.12","1.1 (0.73-1.7)","0.29","0.59"
"G441019","-0.066","0.94 (0.68-1.3)","0.17","0.68"
"G149351","-0.17","0.84 (0.44-1.6)","0.28","0.6"
"G81127","-0.64","0.53 (0.11-2.4)","0.67","0.41"
"G203054","0.019","1 (0.73-1.4)","0.01","0.91"
"G1393","0.12","1.1 (0.31-4.1)","0.03","0.86"
"G79412","0.022","1 (0.48-2.2)","0","0.95"
"G80206","0.12","1.1 (0.93-1.4)","1.4","0.23"
"G51742","-0.23","0.8 (0.48-1.3)","0.8","0.37"
"G348327","-0.14","0.87 (0.45-1.7)","0.16","0.69"
"G441347","0.15","1.2 (0.56-2.4)","0.17","0.68"
"G9436","0.22","1.2 (0.52-3)","0.24","0.63"
"G648998","-0.15","0.86 (0.37-2)","0.13","0.72"
"G153090","0.0089","1 (0.38-2.7)","0","0.99"
"G79892","-0.14","0.87 (0.51-1.5)","0.27","0.6"
"G651809","-0.33","0.72 (0.3-1.7)","0.57","0.45"
"G169611","-0.014","0.99 (0.71-1.4)","0.01","0.93"
"G389932","0.36","1.4 (0.47-4.4)","0.4","0.53"
"G84219","-0.17","0.84 (0.57-1.2)","0.76","0.38"
"G441617","-0.14","0.87 (0.29-2.6)","0.06","0.8"
"G317749","0.052","1.1 (0.59-1.9)","0.03","0.86"
"G55849","0.24","1.3 (0.65-2.5)","0.48","0.49"
"G79180","0.24","1.3 (0.71-2.3)","0.64","0.42"
"G648133","-0.14","0.87 (0.51-1.5)","0.27","0.61"
"G51530","-0.66","0.51 (0.22-1.2)","2.4","0.12"
"G79866","-0.05","0.95 (0.72-1.3)","0.12","0.73"
"G7626","0.054","1.1 (0.67-1.7)","0.06","0.81"
"G350","-0.21","0.81 (0.61-1.1)","2","0.16"
"G222","0.19","1.2 (0.92-1.6)","1.9","0.17"
"G1982","0.39","1.5 (0.78-2.8)","1.4","0.24"
"G8879","-0.053","0.95 (0.63-1.4)","0.06","0.8"
"G136288","0.027","1 (0.69-1.5)","0.02","0.9"
"G6405","0.14","1.2 (0.82-1.6)","0.67","0.41"
"G79633","-0.23","0.8 (0.48-1.3)","0.8","0.37"
"G148479","-0.33","0.72 (0.34-1.5)","0.75","0.38"
"G84418","0.093","1.1 (0.72-1.7)","0.19","0.66"
"G55240","0.47","1.6 (0.68-3.8)","1.2","0.28"
"G56979","0.11","1.1 (0.66-1.9)","0.16","0.69"
"G124817","0.32","1.4 (0.81-2.3)","1.4","0.23"
"G56106","-0.13","0.87 (0.54-1.4)","0.29","0.59"
"G1572","-0.014","0.99 (0.67-1.5)","0.01","0.94"
"G65268","0.5","1.6 (0.99-2.7)","3.7","0.056"
"G133482","-0.57","0.57 (0.25-1.3)","1.9","0.17"
"G55737","0.14","1.1 (0.68-1.9)","0.27","0.6"
"G163033","0.021","1 (0.7-1.5)","0.01","0.91"
"G3109","-0.1","0.9 (0.7-1.2)","0.67","0.41"
"G135398","0.038","1 (0.83-1.3)","0.11","0.74"
"G84266","-0.079","0.92 (0.64-1.3)","0.18","0.67"
"G2848","0.41","1.5 (0.73-3.1)","1.2","0.27"
"G9631","0.21","1.2 (0.59-2.6)","0.33","0.57"
"G944","0.11","1.1 (0.69-1.8)","0.19","0.66"
"G10268","0.18","1.2 (0.87-1.6)","1.2","0.27"
"G766","0.68","2 (0.72-5.4)","1.8","0.19"
"G654056","-0.47","0.63 (0.21-1.9)","0.72","0.4"
"G1476","0.11","1.1 (0.72-1.7)","0.25","0.62"
"G147804","0.073","1.1 (0.72-1.6)","0.12","0.73"
"G223","-0.03","0.97 (0.45-2.1)","0.01","0.94"
"G90411","-0.022","0.98 (0.57-1.7)","0.01","0.94"
"G1874","-0.09","0.91 (0.43-2)","0.05","0.82"
"G30061","-0.074","0.93 (0.68-1.3)","0.21","0.65"
"G401525","-0.76","0.47 (0.25-0.87)","5.8","0.016"
"G51538","-0.29","0.75 (0.36-1.5)","0.62","0.43"
"G8455","0.21","1.2 (0.64-2.4)","0.39","0.53"
"G773","0.67","1.9 (0.98-3.9)","3.6","0.058"
"G641704","0.87","2.4 (1.1-5.1)","5.1","0.024"
"G161003","0.09","1.1 (0.82-1.5)","0.37","0.54"
"G57415","0.089","1.1 (0.74-1.6)","0.2","0.66"
"G654335","-0.2","0.82 (0.46-1.5)","0.46","0.5"
"G3787","-0.19","0.82 (0.67-1)","3.2","0.075"
"G92344","-0.16","0.85 (0.44-1.7)","0.23","0.63"
"G4245","-0.034","0.97 (0.46-2)","0.01","0.93"
"G138307","-0.06","0.94 (0.43-2.1)","0.02","0.88"
"G3595","-0.31","0.74 (0.41-1.3)","1","0.31"
"G647037","0.28","1.3 (0.77-2.3)","1","0.31"
"G54962","0.059","1.1 (0.74-1.5)","0.1","0.75"
"G651758","-0.74","0.48 (0.17-1.3)","2","0.16"
"G83888","0.015","1 (0.82-1.3)","0.02","0.89"
"G150696","0.042","1 (0.84-1.3)","0.15","0.7"
"G647444","-1.2","0.31 (0.086-1.1)","3.2","0.075"
"G63933","-0.36","0.7 (0.27-1.8)","0.53","0.47"
"G80167","-0.23","0.79 (0.51-1.2)","1","0.31"
"G7752","-0.0096","0.99 (0.44-2.2)","0","0.98"
"G94274","-0.11","0.89 (0.64-1.2)","0.48","0.49"
"G51009","0.31","1.4 (0.69-2.7)","0.78","0.38"
"G84191","0.1","1.1 (0.73-1.7)","0.22","0.64"
"G283189","0.23","1.3 (0.37-4.2)","0.13","0.71"
"G221002","-0.17","0.84 (0.37-1.9)","0.16","0.69"
"G400961","-0.95","0.39 (0.17-0.89)","5","0.026"
"G6430","0.04","1 (0.55-2)","0.01","0.9"
"G199920","-0.065","0.94 (0.71-1.2)","0.22","0.64"
"G1479","-0.13","0.87 (0.48-1.6)","0.2","0.66"
"G7095","-0.1","0.91 (0.62-1.3)","0.26","0.61"
"G139420","0.054","1.1 (0.53-2.1)","0.02","0.88"
"G79097","-0.42","0.65 (0.33-1.3)","1.4","0.23"
"G134860","-0.7","0.5 (0.16-1.6)","1.4","0.23"
"G222236","0.016","1 (0.65-1.6)","0","0.94"
"G90233","-0.092","0.91 (0.52-1.6)","0.1","0.75"
"G55028","0.11","1.1 (0.79-1.6)","0.41","0.52"
"G650241","-0.65","0.52 (0.22-1.2)","2.2","0.14"
"G133746","-0.18","0.83 (0.59-1.2)","1.2","0.28"
"G392390","0.26","1.3 (0.56-3)","0.36","0.55"
"G79820","0.078","1.1 (0.87-1.4)","0.47","0.49"
"G94160","0.18","1.2 (0.78-1.9)","0.68","0.41"
"G84899","0.25","1.3 (0.86-1.9)","1.5","0.22"
"G65988","0.37","1.4 (0.74-2.8)","1.2","0.28"
"G652805","-0.26","0.77 (0.4-1.5)","0.6","0.44"
"G57599","-0.095","0.91 (0.51-1.6)","0.11","0.75"
"G4313","-0.052","0.95 (0.65-1.4)","0.07","0.79"
"G55862","0.19","1.2 (0.86-1.7)","1.2","0.27"
"G23418","1.2","3.3 (1.1-9.9)","4.6","0.032"
"G126520","0.31","1.4 (0.85-2.2)","1.7","0.19"
"G51725","-0.094","0.91 (0.38-2.2)","0.04","0.83"
"G440041","-1","0.36 (0.1-1.3)","2.4","0.12"
"G387686","0.098","1.1 (0.65-1.9)","0.13","0.71"
"G64147","-0.82","0.44 (0.15-1.3)","2.2","0.14"
"G148823","-0.1","0.9 (0.53-1.5)","0.15","0.7"
"G129049","-0.22","0.81 (0.49-1.3)","0.7","0.4"
"G9177","0.45","1.6 (0.87-2.8)","2.2","0.13"
"G441344","-0.94","0.39 (0.15-1)","3.6","0.058"
"G84343","-0.08","0.92 (0.67-1.3)","0.24","0.62"
"G54555","0.15","1.2 (0.79-1.7)","0.58","0.45"
"G6935","-0.1","0.9 (0.56-1.4)","0.19","0.67"
"G374786","0.81","2.3 (0.41-13)","0.87","0.35"
"G388923","-0.31","0.73 (0.33-1.6)","0.62","0.43"
"G649338","0.1","1.1 (0.54-2.3)","0.08","0.78"
"G718","0.099","1.1 (0.85-1.4)","0.56","0.45"
"G11258","-0.0021","1 (0.47-2.1)","0","1"
"G151516","0.09","1.1 (0.65-1.8)","0.11","0.73"
"G441381","0.6","1.8 (1-3.3)","3.8","0.051"
"G644873","-1.1","0.34 (0.12-1)","3.8","0.05"
"G154449","0.065","1.1 (0.49-2.3)","0.03","0.87"
"G654191","0.018","1 (0.64-1.6)","0.01","0.94"
"G55572","-0.023","0.98 (0.57-1.7)","0.01","0.93"
"G10438","-0.69","0.5 (0.19-1.3)","1.9","0.17"
"G346389","0.13","1.1 (0.56-2.3)","0.13","0.72"
"G119695","0.23","1.3 (0.49-3.2)","0.24","0.62"
"G81928","-0.049","0.95 (0.64-1.4)","0.06","0.8"
"G132954","0.16","1.2 (0.51-2.7)","0.14","0.7"
"G644024","-0.044","0.96 (0.44-2.1)","0.01","0.91"
"G200895","0.16","1.2 (0.59-2.4)","0.21","0.65"
"G7314","-0.037","0.96 (0.59-1.6)","0.02","0.88"
"G645210","-0.034","0.97 (0.4-2.4)","0.01","0.94"
"G10873","0.98","2.7 (1-6.8)","4.2","0.042"
"G4153","0.23","1.3 (0.44-3.6)","0.19","0.67"
"G585","0.16","1.2 (0.7-2)","0.37","0.55"
"G648481","-0.77","0.46 (0.18-1.2)","2.4","0.12"
"G441390","0.12","1.1 (0.6-2.1)","0.13","0.72"
"G27127","-0.061","0.94 (0.62-1.4)","0.08","0.77"
"G646332","0.14","1.2 (0.81-1.6)","0.64","0.42"
"G84561","0.23","1.3 (0.9-1.8)","1.7","0.19"
"G2254","-0.07","0.93 (0.76-1.1)","0.48","0.49"
"G170063","0.1","1.1 (0.51-2.4)","0.07","0.79"
"G158572","0.071","1.1 (0.65-1.8)","0.08","0.78"
"G646111","0.19","1.2 (0.52-2.8)","0.19","0.66"
"G220064","-0.41","0.67 (0.4-1.1)","2.5","0.11"
"G8399","-0.028","0.97 (0.81-1.2)","0.09","0.77"
"G401630","-0.13","0.88 (0.39-2)","0.1","0.76"
"G405","-0.21","0.81 (0.43-1.5)","0.45","0.5"
"G64127","0.00037","1 (0.73-1.4)","0","1"
"G462","-0.29","0.75 (0.37-1.5)","0.64","0.43"
"G282679","0.074","1.1 (0.81-1.4)","0.27","0.6"
"G57724","0.13","1.1 (0.81-1.6)","0.6","0.44"
"G23172","0.25","1.3 (0.54-3)","0.32","0.57"
"G374393","0.84","2.3 (1.4-4)","9.4","0.0021"
"G641852","0.12","1.1 (0.59-2.2)","0.14","0.71"
"G391109","0.094","1.1 (0.38-3.1)","0.03","0.86"
"G400569","-0.23","0.8 (0.53-1.2)","1.1","0.29"
"G10901","-0.22","0.8 (0.4-1.6)","0.4","0.53"
"G140683","0.21","1.2 (0.94-1.6)","2.3","0.13"
"G4836","0.11","1.1 (0.64-2)","0.16","0.69"
"G90050","0.2","1.2 (0.98-1.5)","3.1","0.077"
"G85443","0.078","1.1 (0.42-2.8)","0.03","0.87"
"G386672","0.041","1 (0.42-2.6)","0.01","0.93"
"G3087","0.033","1 (0.75-1.4)","0.04","0.84"
"G199675","-0.093","0.91 (0.78-1.1)","1.5","0.22"
"G51386","0.048","1 (0.56-2)","0.02","0.88"
"G132884","-0.12","0.89 (0.52-1.5)","0.19","0.66"
"G6138","0.15","1.2 (0.67-2)","0.31","0.58"
"G83699","-0.013","0.99 (0.72-1.4)","0.01","0.94"
"G650766","-0.16","0.85 (0.55-1.3)","0.52","0.47"
"G79102","-0.15","0.86 (0.57-1.3)","0.49","0.48"
"G9500","-0.18","0.84 (0.31-2.2)","0.12","0.73"
"G64864","0.071","1.1 (0.73-1.6)","0.13","0.71"
"G651919","-0.17","0.85 (0.49-1.5)","0.34","0.56"
"G8808","0.18","1.2 (0.77-1.9)","0.64","0.42"
"G821","-0.072","0.93 (0.53-1.6)","0.07","0.8"
"G9931","-0.097","0.91 (0.46-1.8)","0.08","0.78"
"G642968","-0.56","0.57 (0.19-1.7)","0.99","0.32"
"G652259","0.54","1.7 (0.77-3.9)","1.7","0.19"
"G3134","0.16","1.2 (0.81-1.7)","0.71","0.4"
"G440163","-0.098","0.91 (0.33-2.5)","0.04","0.85"
"G10281","-0.11","0.9 (0.43-1.9)","0.09","0.77"
"G285429","-0.31","0.73 (0.46-1.2)","1.7","0.19"
"G84291","0.048","1 (0.8-1.4)","0.12","0.73"
"G151194","0.04","1 (0.49-2.2)","0.01","0.92"
"G165082","-0.031","0.97 (0.58-1.6)","0.01","0.9"
"G1958","0.024","1 (0.7-1.5)","0.02","0.9"
"G648868","-0.015","0.99 (0.51-1.9)","0","0.96"
"G80205","0.078","1.1 (0.66-1.8)","0.1","0.75"
"G441436","0.38","1.5 (0.63-3.4)","0.79","0.37"
"G9812","-0.25","0.78 (0.38-1.6)","0.46","0.5"
"G55650","-0.45","0.64 (0.33-1.3)","1.7","0.19"
"G642350","0.32","1.4 (0.67-2.8)","0.76","0.38"
"G55803","-0.13","0.88 (0.58-1.3)","0.36","0.55"
"G643002","-0.33","0.72 (0.23-2.2)","0.33","0.57"
"G64645","0.23","1.3 (0.71-2.2)","0.63","0.43"
"G79783","-0.071","0.93 (0.72-1.2)","0.29","0.59"
"G645393","-0.057","0.94 (0.41-2.2)","0.02","0.89"
"G5859","-0.45","0.64 (0.26-1.5)","0.99","0.32"
"G91748","0.074","1.1 (0.5-2.3)","0.04","0.85"
"G401250","-0.064","0.94 (0.48-1.8)","0.03","0.85"
"G1238","0.069","1.1 (0.89-1.3)","0.52","0.47"
"G79077","0.12","1.1 (0.74-1.7)","0.32","0.57"
"G4758","-0.045","0.96 (0.57-1.6)","0.03","0.86"
"G4712","0.00083","1 (0.65-1.5)","0","1"
"G1802","0.39","1.5 (0.73-3)","1.2","0.28"
"G378925","0.17","1.2 (0.78-1.8)","0.61","0.43"
"G256764","0.046","1 (0.91-1.2)","0.42","0.52"
"G6778","-0.072","0.93 (0.64-1.4)","0.14","0.71"
"G9666","0.24","1.3 (0.85-1.9)","1.3","0.25"
"G653482","0.68","2 (1.1-3.6)","5","0.025"
"G55509","-0.044","0.96 (0.7-1.3)","0.08","0.78"
"G7556","0.27","1.3 (0.88-2)","1.8","0.18"
"G651609","0.37","1.4 (0.66-3.1)","0.85","0.36"
"G4209","-0.19","0.83 (0.5-1.4)","0.52","0.47"
"G84630","1.4","3.9 (1.3-12)","5.9","0.015"
"G51069","-0.17","0.84 (0.6-1.2)","0.98","0.32"
"G57132","0.11","1.1 (0.74-1.7)","0.26","0.61"
"G57732","-0.16","0.85 (0.49-1.5)","0.33","0.57"
"G80351","0.55","1.7 (0.92-3.2)","3","0.086"
"G57047","0.13","1.1 (0.77-1.7)","0.45","0.5"
"G2587","0.21","1.2 (0.56-2.7)","0.27","0.6"
"G654260","0.097","1.1 (0.76-1.6)","0.26","0.61"
"G80763","0.097","1.1 (0.73-1.7)","0.22","0.64"
"G64412","0.8","2.2 (1.4-3.6)","11","0.0011"
"G116","0.21","1.2 (0.94-1.6)","2.3","0.13"
"G5291","-0.072","0.93 (0.67-1.3)","0.18","0.67"
"G343927","-0.41","0.66 (0.24-1.8)","0.62","0.43"
"G23089","-0.26","0.77 (0.56-1.1)","2.4","0.12"
"G123720","-0.081","0.92 (0.57-1.5)","0.11","0.75"
"G83640","0.55","1.7 (0.9-3.3)","2.7","0.1"
"G646458","-0.18","0.84 (0.33-2.1)","0.14","0.71"
"G4879","0.87","2.4 (1.2-4.6)","6.9","0.0085"
"G637","0.11","1.1 (0.61-2)","0.12","0.73"
"G3670","-0.0063","0.99 (0.79-1.3)","0","0.96"
"G388512","0.75","2.1 (1.1-4.1)","5.1","0.024"
"G648362","-0.21","0.81 (0.36-1.8)","0.28","0.6"
"G54058","-0.059","0.94 (0.48-1.9)","0.03","0.87"
"G653226","0.22","1.3 (0.7-2.2)","0.57","0.45"
"G56267","0.16","1.2 (0.49-2.8)","0.13","0.72"
"G55144","0.31","1.4 (0.83-2.2)","1.5","0.22"
