"","beta","HR (95% CI for HR)","wald.test","p.value"
"G84227","0.25","1.3 (0.65-2.6)","0.52","0.47"
"G9231","0.031","1 (0.61-1.7)","0.01","0.91"
"G652762","0.082","1.1 (0.63-1.9)","0.09","0.77"
"G11315","-0.24","0.78 (0.33-1.9)","0.31","0.58"
"G90135","0.25","1.3 (0.73-2.3)","0.75","0.39"
"G441925","-0.12","0.89 (0.3-2.6)","0.05","0.83"
"G27184","-0.013","0.99 (0.33-3)","0","0.98"
"G3851","-0.0073","0.99 (0.75-1.3)","0","0.96"
"G653657","-0.2","0.82 (0.28-2.4)","0.13","0.72"
"G7007","-0.22","0.8 (0.43-1.5)","0.49","0.49"
"G55511","-0.36","0.7 (0.33-1.5)","0.86","0.35"
"G83844","-0.0055","0.99 (0.63-1.6)","0","0.98"
"G6907","0.28","1.3 (0.92-1.9)","2.2","0.14"
"G1361","0.034","1 (0.85-1.3)","0.11","0.74"
"G54658","-0.37","0.69 (0.29-1.7)","0.68","0.41"
"G8678","0.2","1.2 (0.53-2.8)","0.21","0.64"
"G399715","0.24","1.3 (0.34-4.7)","0.12","0.72"
"G127068","-0.48","0.62 (0.24-1.6)","0.98","0.32"
"G29930","-0.19","0.82 (0.29-2.4)","0.13","0.72"
"G219874","0.51","1.7 (0.63-4.4)","1","0.3"
"G6019","0.15","1.2 (0.66-2.1)","0.28","0.6"
"G3782","-0.22","0.8 (0.45-1.4)","0.59","0.44"
"G254028","-0.031","0.97 (0.44-2.2)","0.01","0.94"
"G2017","-0.18","0.84 (0.5-1.4)","0.45","0.5"
"G2519","0.27","1.3 (0.66-2.6)","0.6","0.44"
"G392982","-0.43","0.65 (0.26-1.6)","0.87","0.35"
"G149708","0.66","1.9 (1.1-3.3)","6","0.015"
"G5731","0.36","1.4 (1.1-1.9)","6.4","0.011"
"G652809","-0.025","0.98 (0.5-1.9)","0.01","0.94"
"G5797","0.45","1.6 (1-2.4)","4","0.047"
"G6949","-1.9","0.15 (0.031-0.76)","5.2","0.022"
"G22836","-0.15","0.86 (0.61-1.2)","0.72","0.4"
"G652163","-0.25","0.78 (0.37-1.7)","0.41","0.52"
"G30001","0.17","1.2 (0.78-1.8)","0.6","0.44"
"G84186","-0.39","0.68 (0.42-1.1)","2.4","0.12"
"G353299","0.83","2.3 (0.79-6.6)","2.4","0.12"
"G79017","0.27","1.3 (0.86-2)","1.6","0.21"
"G139212","0.0038","1 (0.64-1.6)","0","0.99"
"G7779","-0.028","0.97 (0.69-1.4)","0.03","0.87"
"G652635","-0.087","0.92 (0.46-1.8)","0.06","0.8"
"G4891","-0.17","0.84 (0.52-1.4)","0.47","0.49"
"G50832","0.17","1.2 (0.58-2.4)","0.21","0.64"
"G6939","0.16","1.2 (0.7-2)","0.38","0.54"
"G10975","0.32","1.4 (0.91-2.1)","2.3","0.13"
"G79774","-0.14","0.87 (0.62-1.2)","0.66","0.42"
"G541473","-0.039","0.96 (0.53-1.7)","0.02","0.9"
"G9685","-0.26","0.77 (0.44-1.4)","0.8","0.37"
"G8190","0.22","1.2 (0.9-1.7)","1.7","0.19"
"G23321","0.085","1.1 (0.82-1.4)","0.35","0.56"
"G51266","0.13","1.1 (0.81-1.6)","0.57","0.45"
"G650620","0.11","1.1 (0.69-1.8)","0.21","0.65"
"G161931","0.19","1.2 (0.72-2)","0.52","0.47"
"G9741","0.3","1.4 (0.87-2.1)","1.8","0.18"
"G399665","-0.067","0.93 (0.48-1.8)","0.04","0.84"
"G26090","0.2","1.2 (0.76-1.9)","0.69","0.41"
"G136647","0.096","1.1 (0.7-1.7)","0.18","0.68"
"G10220","-0.092","0.91 (0.52-1.6)","0.11","0.75"
"G121601","0.15","1.2 (0.43-3.2)","0.09","0.76"
"G8512","0.015","1 (0.78-1.3)","0.01","0.91"
"G57169","-0.075","0.93 (0.45-1.9)","0.04","0.84"
"G22941","-0.35","0.71 (0.4-1.3)","1.4","0.24"
"G84612","-0.42","0.66 (0.4-1.1)","2.8","0.093"
"G641311","-0.7","0.5 (0.18-1.3)","1.9","0.17"
"G3608","-0.006","0.99 (0.6-1.7)","0","0.98"
"G644814","-0.077","0.93 (0.51-1.7)","0.06","0.8"
"G56132","-0.12","0.89 (0.45-1.8)","0.12","0.73"
"G642393","0.021","1 (0.6-1.7)","0.01","0.94"
"G55683","-0.13","0.88 (0.43-1.8)","0.13","0.72"
"G23580","0.016","1 (0.64-1.6)","0","0.95"
"G653857","0.023","1 (0.55-1.9)","0","0.94"
"G5359","0.2","1.2 (0.88-1.7)","1.4","0.23"
"G51523","-0.2","0.82 (0.51-1.3)","0.67","0.41"
"G161253","-0.17","0.84 (0.56-1.3)","0.69","0.41"
"G54512","0.14","1.2 (0.77-1.7)","0.48","0.49"
"G653934","0.69","2 (1.1-3.7)","4.8","0.029"
